"1+1 주소, 一-一住所, one plus one address",동의어 : 1+1 번지,하나의 명령어가 연산자와 데이터 주소 및 다음 명령어 주소로 구성되는 아주 단순한 명령어 체계 또는 방식. 호출 시간이 짧고 계산 속도가 빠르다.
"1, 2종 망 종단 장치, 一-二種網終端裝置, Network Terminal Type 1, 2, NT 1, 2",,"종합 정보 통신망(ISDN)의 망 종단 장치의 일종으로, 1종 망 종단 장치(NT 1)와 2종 망 종단 장치(NT 2)의 기능을 결합한 장치. 많은 국가에서 ISDN 제공자(사업자)가 가입자에게 1, 2종 망 종단 장치(NT 1, 2)를 설치해 주고 관리하며 일반 서비스를 제공한다. 미국과 같이 가입자 구내 장비의 공급 경쟁이 치열하고 독점 공급이 규제되는 국가에서 사업자는 NT 1만을 공급하고 NT 2는 제3자가 공급한다. 그러므로 NT 1, 2는 공급하지 못한다."
"10.2 채널 음향, -音響, 10.2 channel audio",,"청취자를 중심으로 독립된 스피커 10개와 저음을 전용으로 재생하는 서브우퍼(subwoofer) 2개로 구성된 음향 시스템. 독립된 스피커 10개는 각각 수평면으로 전방 중앙(C), 전방 좌측(L), 전방 우측(R), 후방 좌측(LB), 후방 우측(RB), 좌측(LS), 우측(RS), 그리고 수직면으로 후방 중앙(CH), 전방 좌측(LH), 전방 우측(RH)에 위치하며, 서브우퍼는 바닥면 좌측(LFE1)과 바닥면 우측(RFE2)에 위치한다. 이를 통해 기존 HDTV의 5.1 채널 음향보다 사실적이고 현장감 넘치는 입체 음향을 제공한다. 10.2 채널 오디오 기술은 우리나라 ETRI와 삼성전자가 공동 개발하였으며, ITU 국제 표준(BS.2051)으로 채택되었다. "
"100% 순수 자바, -純粹-, 100% pure Java",,"자바 언어로 개발된 프로그램 중에서 자바 운영 체계(OS) 자체만의 응용 프로그램 인터페이스(API) 등을 이용함으로써 자바의 목표인 하나의 프로그램으로 모든 기기에서 사용(Write Once, Run Anywhere)할 수 있는 프로그램임을 인정하는 인증 용어. 100% 순수 자바 프로그램은 운영 체계나 하드웨어 플랫폼에 상관없이 정상 동작된다."
"10M/100M 자동 인식, 十-百-自動認識, 10M/100M automatic recognition, 10M/100M AR",,"구내 정보 통신망(LAN) 스위치나 PC용 LAN 카드 등에서 접속 상대에 따라 1개의 LAN 포트를 10 BASE-T나 100 BASE-TX에 자동적으로 절체해서 통신하는 기능. IEEE 802.3 자동 연결 기능으로 정해진 표준의 한 기능으로 볼 수 있다. IEEE 802.3에서 규정되기 이전에 몇 개의 제조 회사가 같은 기능을 실현하여 ‘Nway’, ‘Auto Sense’ 등으로 부르고 있으나 호환성은 없다. IEEE 802.3 자동 연결 기능에서는 접속 상대끼리 송수신하는 신호(ring pulse)에 인터페이스 종별 정보를 실어서 주고받음으로써 상호 최적의 인터페이스를 확정한다. 인식 대상으로 규정된 인터페이스는 100 BASE-T2의 전이중, 100 BASE-TX의 전이중, 100 BASE-T2의 반이중, 100 BASE-T4, 100 BASE-TX의 반이중, 10 BASE-T의 전이중, 10 BASE-T의 반이중으로 7종류이다. 우선 순위 역시 이 순서로 정의되어 있다. 통신 상대방이 자동 인식을 갖지 않은 10Mbps 전용 기기인 경우는 10 BASE-T의 노멀 링 펄스(normal ring pulse)로부터 접속 속도를 판단하여 10Mbps로 통신하며, 100Mbps 전용기인 경우는 100 BASE-TX의 아이들(idle) 신호로부터 접속 속도를 판단하여 100Mbps로 통신한다."
"10 기가 이더넷, 10-Gigabit Ethernet, 10GbE",,"이더넷 상에서 초당 10 기가의 데이터 속도를 제공하는 선진 통신 기술로 된 IEEE 802.3a 표준. 대부분 LAN의 이더넷에 설치되며 기간 망간의 데이터 전송과 단말에 일관된 기술을 제공하는 매우 유용하고 저렴한 기술이다. 광섬유를 사용한 것은 비동기 전송 방식(ATM)과 동기식 광통신망(SONET) 다중화기를 사용하는 기존의 네트워크를 대신할 수 있고 데이터 속도도 2.5Gbps에서 10Gbps로 개선할 수 있다. 구내 정보 통신망(LAN), 광역 통신망(WAN), 도시권 통신망(MAN)을 상호 접속하는데 사용하고, IEEE 802 이더넷 MAC 프로토콜의 프레임 형식과 크기를 사용하며, 상당한 거리까지 양방향 송신이 가능하다. 다중 모드 광섬유의 경우에는 거리 300 미터까지, 단일 모드 광섬유의 경우에는 40 킬로미터까지 송신이 가능하다."
"10진 가산기, 十進加算器, decimal adder",동의어 : 10진 덧셈기,10진으로 표시된 수치를 여러 개 덧셈하는 회로.
"10진 분류법, 十進分類法, decimal classification",,"듀이(M. Dewey)가 개발한 도서 분류법의 한 가지. 현재 가장 널리 사용되는 것으로는 국제 10진 분류법(UDC)이 있다. 이것은 모든 범위에 걸쳐 사용되고 있으며, 특히 과학 기술 관계의 내용이 충실하다. 이 방법은 우선 대분류로 0~9까지 10진 분류하고 다시 10진 분류하면서 상세화하는 것인데, 도서나 문헌 등을 분류하는 데 적합하며, 대부분의 도서관에서는 이 방법을 이용하여 서적을 분류하고 있다."
"120㎐ 풀 HD, 120㎐ Full High-Definition, 120Hz Full HD",,"텔레비전 수신기나 컴퓨터 모니터 등에서 초당 120 프레임으로 영상을 구현하는 기술. 지상파 HDTV는 1,920x1,080 화소로 30 프레임까지 전송이 가능하지만, 120㎐ 풀 HD TV 수신기에서는 이들 신호를 수신하여 각 필드를 프레임으로 변환하여 60 프레임을 구성하고, 보간/예측 프레임을 삽입하여 120 프레임으로 구동한다."
"128 비트 암호, -暗號, 128-bit encryption",,"길이가 128비트인 암호 키를 사용하는 암호 방식. 미국 표준 암호 방식 DES(data encryption standard)는 암호화하는 데이터를 64비트의 블록으로 분할해서 불록 단위로 56비트의 키 데이터를 사용, 암호화한다. 컴퓨터의 발달에 따라 DES의 안전성이 불충분하므로 미국 국립 표준 기술 연구소(NIST)가 차세대 표준 암호 방식 AES(advanced encryption standard)를 개발하였다. AES 요구 규격은 데이터 블록 길이가 128비트이고, 키의 길이는 128비트, 192비트 및 256비트의 3종류가 있다."
"12진법, 十二進法, duodecimal",,"①12개의 가능성 있는 선택, 조건을 수반하는 성질에 대한 용어. ②12를 기수(radix)로 하는 고정 기수 기수법과 관련되는 용어."
"1/4 파장 변성기, -波長變成器, quarter-wave length transformer",,임피던스를 정합하기 위하여 사용하는 길이 1/4 파장의 전송로.
"1/4 파장 슬리브, -波長-, quarter-wave length sleeve",,"평형형 안테나를 동축선에 접속하기 위한 정합에 사용되는 밸룬(balun)의 일종으로, 동축선의 외부 도체 주위에 길이가 1/4 파장인 원통형 도체를 씌워서 급전점으로부터 먼 쪽의 끝에서 동축선의 외부 도체에 접속시킨 것."
"1/4 파장 안테나, -波長-, quarter-wave antenna",,"장중파대 파장의 1/4 도선을 대지에 접지하여 설치하는 안테나.장중파대에서 그 파장의 1/4인 도선을 대지에 접지하여 설치하면 대지 속에 생기는 전기 영상 때문에 전체 길이가 1/2 파장의 안테나와 등가가 되고, 그 파장에서 공진하게 된다. 또 초단파(VHF)대에서도 파장에 비해 충분히 큰 도체상에 1/4 파장의 발사체를 설치하면 같은 이유로 등가 1/2 파장 안테나를 형성하는 것이 된다. 전자의 예가 1/4 파장 수직 안테나, 후자의 예가 브라운 안테나이다."
"1/4 파장 정합 회로, -波長整合回路, quarter-wave matching circuit",,"동축 선로의 일부에 2개의 유전체를 삽입하고 그 사이의 길이를 1/4 파장으로 한 다음, 두 유전체의 간격을 조정하여 수신단의 부하에 따른 반사파를 상쇄하도록 정합시킨 선로. 또는 동축선의 바깥쪽에 1/4 파장의 원통 도체를 씌워 이것에 접속한 평행한 두 가닥의 비평형 전류를 상쇄시키는 데 쓰이는 것을 말한다."
"16/32 비트 마이크로컴퓨터, sixteen/thirty two bit microcomputer",,"32비트 프로세서를 사용하는 시스템으로서 외부의 16라인 데이터 버스도 다중화하는 마이크로컴퓨터. 단어 크기가 클수록 더욱 정확한 계산과 복잡한 명령 수행이 가능하며, 데이터 버스가 클수록 기억 장소로의 데이터 송수신 전송이 빨라진다."
"16 비트 마이크로컴퓨터, sixteen-bit microcomputer",,"16비트 단어 크기를 가진 처리기를 사용하는 시스템. 외부의 8라인 데이터 버스도 다중화하며, 단어 크기가 클수록 주소 지정용 기억 장치량이 증가하여 더욱 정확한 명령 수행이 가능하다."
"16비트 파일 할당표, -割當票-, File Allocation Table 16, FAT16",,"DOS, 윈도3.1, 윈도95 등에 주로 사용되었던 16-bit를 기본으로 하는 파일 시스템. 개인용 컴퓨터 초기의 파일 시스템으로서 최저 16 MB에서 최대 2,048 MB(2 GB) 범위까지를 인식한다. HDD의 용량이 이보다 크면 파티션(partition)을 분리하든가 FAT 32나 NTFS 등으로 변환해야 인식할 수 있다."
"16진 기수법, 十六進記數法, hexadecimal number system",,"숫자 0, 1, 2, 3, 4, 5, 6, 7, 8, 9 및 영문자 A, B, C, D, E, F를 사용하며, 기수(radix)가 16이고 가장 작은 정수(定數)의 무게가 1인 고정 기수 기수법. 영문자 A, B, C, D, E, F는 각각 10, 11, 12, 13, 14, 15를 나타낸다. 이 기수법에서는 예를 들면 3E8이라는 수는 3×162＋14×161＋8×160으로 표현된다."
"1934년 통신법, -年通信法, The Communications Act of 1934",,"1934년에 제정된 미국의 연방 통신법. 1934년에 법안이 의회를 통과하여 제정되었기 때문에 흔히 1934년 통신법이라고 부른다. 이 법은 높은 품질의 전기 통신 서비스를 적정한 가격으로 전국 어디에서나 보편적으로 이용할 수 있게 할 목적으로 제정되었다. 이 법에 따라 미국 연방 통신 위원회(FCC)라는 새로운 규제 기관이 설치되어, 그때까지 분산되어 있던 주간(interstate), 국제간 유선/무선 통신과 방송에 관한 모든 연방 정부의 규제가 이 위원회로 이관되었다. 이 법은 공정하고 합리적이며 부당한 차별이 없는 전기 통신 서비스와 가격에 대한 규제를 규정하고 있다."
"1962년 미국 통신 위성법, -年美國通信衛星法, Communications Act of 1962",,"미국의 위성 통신에 관한 기본법. ‘1934년 통신법’에 대한 특별법으로 1962년 8월 31일 제정되었다. 이 법은 정책 선언과 정의, 연방에 의한 조정/기획 및 규제, 콤샛(COMSAT)의 설립, 잡칙, 국제 해사 위성 통신으로 구성되어 있다. 이 법률의 제 1장에 따르면 미국의 국제 통신 위성 정책은 미국 및 다른 국가의 통신 수요를 충족시키고, 세계 평화와 이해에 공헌하는 고성능의 세계 통신망의 일부를 만드는 상업 통신 위성 시스템을 관계 외국과 협력하여 가능한 한 빨리 설립하며, 미국은 적절한 정부 규제에 복종하는 단일 사기업에 의해 이 시스템에 참가할 것이다. 또 동법의 규정이 적합하다면 이 통신 위성 시스템을 국내 통신 서비스에 이용하는 것도 인정해야 할 것이다. 제2장에서는 통신 위성 시스템의 설립과 운영에 관한 대통령, 미국 국립 항공 우주국(NASA) 및 미국 연방 통신 위원회(FCC)의 책무를 명확히 하고 있다. 제3장에서는 앞의 제2장에 언급된 정책 등을 위임받아 COMSAT 설립에 관한 규정을 설정해서 동사의 설립 과정, 임직원, 재무, 목적과 권능 등에 대하여 상세히 정하고 있다. 특히 주목되는 것은 제4장 잡칙 다음에, 1978년 개정에 따라 국제 해사 위성 시스템에 관련된 제5장이 추가되어 COMSAT이 인마샛(INMARSAT)에 대한 미국 지정 사업체로 되어 있는 것이다."
"1984년 AT&T 기업 분할, -年-企業分割, The 1984 Divestiture of AT&T",,"미국 AT&amp;T사의 독점적 통신 사업 운영 체제의 해체를 명령한 법원의 판결에 따라 1984년에 이루어진 기업 분할. 미국 최대의 통신 사업체인 AT&amp;T사는 장거리 통신 사업 본부와 전국의 22개 벨 전화 회사(Bell Telephone Co.)를 소유하고 전국의 장거리 통신과 대부분 지역에서 시내 전화 사업을 수십 년 동안 독점적으로 벨 시스템(Bell System)이라는 일원적 체제로 운영해 왔다. 그런데 최종 수정 판결(MFJ)이라는 이름으로 잘 알려진 워싱턴 지방 법원의 판결, 즉 AT&amp;T사의 반독점법 위반 행위에 대한 법무부와 AT&amp;T사 간의 소송 사건에 대한 1982년의 판결에 따라, 1984년 1월 AT&amp;T는 8개의 독립 회사로 분할되었다. 즉 장거리 통신 사업을 운영하는 AT&amp;T사와 7개의 RBOC로 분할되었다. 분리된 AT&amp;T사는 IXC(Inter Exchange Carrier)라는 장거리 통신 사업자로서 다른 IXC와 경쟁하여 장거리 통신 사업을 운영하는 회사이며, 7개의 신설 RBOC는 종전의 벨 전화 회사를 지역별로 몇 개씩 분할 소유하는 지역 지주 회사(RHC)이다. 각 RBOC 산하의 벨 전화 회사는 LEC라는 지역 전화 사업자로서 특정 지역 내에서의 시내 전화와 시외 전화 서비스를 독점적으로 제공하게 되었다. AT&amp;T사의 분할은 미국에서뿐만 아니라 전 세계 각국에서 전기 통신 사업의 독점적/일원적 운영 체제를 해체하고 장거리 통신 사업을 자유화하는 등 전기 통신 사업의 구조 조정, 자유화 및 경쟁 도입을 촉진하는 계기가 되었다."
"1996년 통신법, -年通信法, The Telecommunications Act of 1996",,"1996년에 개정된 미국의 연방 통신법. 1934년에 제정된 통신법의 개정 법률안이 1996년에 의회를 통과하여 발효되었기 때문에 흔히 1996년 통신법이라고 부른다. 최초의 제정 이래 62년 만의 개정으로 많은 개혁적 내용이 포함되어 있어서 1996년 통신 개혁법이라고도 한다. 주요 개정 내용은 ㉠시내 전화 시장에의 경쟁 도입, ㉡보편적 서비스(universal service)를 위한 자금 갹출과 대상 사업자의 인정, ㉢RBOC의 신규 참입 사업 분야의 조건, ㉣종합 유선 방송(CATV) 사업의 요금 규제 완화, ㉤방송 사업자의 소유 상한 규제 완화, ㉥외설/폭력 프로그램의 규제 등이다. 1996년 개정 통신법은 최근 수년 간의 통신/방송의 융합 등 멀티미디어화(다매체화)와 사업 분야를 초월한 합종 연횡의 움직임을 추인하는 것으로서 경쟁 정책과 규제 철폐의 방향을 제시하고 있다. 이 개정법의 구체적인 시행 규칙은 미국 연방 통신 위원회(FCC)가 동년 8월에 제시하였다."
"1996년 통신 품위법, -年通信品位法, The Communications Decency Act of 1996, CDA",,"1996년에 개정된 미국의 연방 통신법 중에서 외설/폭력 프로그램의 규제에 관한 부분을 가리키는 명칭. 텔레비전 방송뿐만 아니라 인터넷 등의 컴퓨터 통신망에서의 저속한 외설 정보나 폭력 정보의 송신 금지와 사업자의 형벌 조항이 포함되어 있어서, 특히 인터넷 관계자들의 반발을 초래하였다. 전자 개척자 재단(EFF: Electronic Frontier Foundation) 등 컴퓨터 통신망에서의 표현의 자유를 옹호하는 단체가 반대 운동을 전개하고 필라델피아 연방 지방 법원에는 이 통신 품위법이 헌법에 보장되어 있는 표현의 자유를 침해한다는 소송이 제기되었다. 1996년 6월에는 외설 정보의 규제 조항의 보류를 인정하는 결정이 내려졌으나, 미국 정부는 연방 최고 재판소에 상고하였다."
"1 레벨 주소, 一-住所, one level address",동의어 : 1 단계 번지,절대 주소(absolute address)와 같은 뜻. 명령이나 데이터의 위치를 나타내는 방식에는 그 위치를 간접적으로 표시하는 것과 직접 표시하는 것이 있다. 1레벨 주소에서는 표시된 주소가 직접 데이터나 명령의 위치를 표시하고 있다.
"1세대 컴퓨터, 一世代-, first generation computer",,"진공관이 컴퓨터 구성의 주요 전자 소자였던 시기의 컴퓨터. 1세대 컴퓨터는 1946~1959년에 주로 제작되었으며, 2세대 컴퓨터는 1959~1964년에 제작된 컴퓨터를 말한다. 트랜지스터를 사용한 것이 특징이다. 3세대 컴퓨터는 1964~1971년에 제작된 컴퓨터를 말하며, 집적 회로 등의 사용으로 극소 회로화 또는 축소화한 점이 그 특징이다."
"1인 지식 기업, 一人知識企業",,"통신업, 금융ㆍ보험업, 사업 서비스업, 교육 서비스업, 보건ㆍ사회 복지업, 오락ㆍ문화ㆍ운동 관련 서비스업에서 활동하는 프리랜서, 개인 사업자, 주식 및 유한 회사 형태의 법인으로 대표자를 포함한 종사자가 1인인 기업. 중소기업청이 고학력자의 실업 문제를 해결하고 새로운 일자리 창출을 위해 정부는 창업 자금 지원, 세금 감면, 사업 관련 각종 정보 제공 등 다양한 방법으로 지원한다."
"1인치 헬리컬 녹화기, -錄畵機, one inch helical VTR",,폭이 1인치(2.54 cm)인 비디오 테이프를 사용하는 헬리컬 주사 방식의 비디오 테이프 녹화기(VTR). 한 필드의 영상을 한 트랙에 기록하는 비(非) 세그먼트 방식과 여러 개의 트랙에 분할하여 기록하는 세그먼트 방식 등이 있다. 또 테이프를 원통(drum)에 α형으로 감는 방식과 Ω형으로 감는 방식이 있다. 현재 방송용 1인치 녹화기는 C타입 Ω감기 방식을 사용한다.
"1종 단말 장치, 一種端末裝置, Terminal Equipment Type 1, TE 1",,"종합 정보 통신망(ISDN)에서 사용하는 가입자 단말 장치 중 표준 ISDN 인터페이스를 지원하는 장치. 직접 망 종단(NT) 장치에 접속될 수 있는 것을 말한다. 디지털 전화기, 데이터 단말, 디지털 팩스 장치 등이 이에 속한다."
"1종 망 종단 장치, 一種網終端裝置, Network Terminal Type 1, NT 1",,"종합 정보 통신망(ISDN)에서 가입자 구내의 경계에서 물리적/전기적으로 망을 종단하는 기능, 즉 OSI 기본 참조 모델의 물리 계층(제1계층)에 속하는 기능을 수행하는 장치. ISDN 제공자(사업자)에 의해 제어될 수 있으며 가입자의 구내 설비와 망의 경계를 이룬다. 또한 복수의 가입자 장치를 버스형으로 접속할 수 있는 물리적 커넥터 인터페이스를 제공하며, 가입자 회선의 유지, 보수 및 성능 감시 기능을 수행하고 가입자 회선의 복수 채널(예: 2B＋D)의 비트 스트림의 동기화 및 시분할 다중화 기능을 수행한다."
"1주소 명령어, 一住所命令語, one-address instruction",동의어 : 1 번지 명령,주소를 하나만 포함하고 있는 있는 명령. 1주소 명령의 기본적인 명령 형식은 그림에서 보는 바와 같이 하나의 연산 부호와 하나의 주소로 구성된다. 1주소 명령에서는 일반적으로 레지스터와 레지스터 간 및 기억 장치와 연산 레지스터 간에 연산이 이루어진다. 간접 주소의 지정은 그 명령의 주소가 연산 대상의 기억 장소가 아니라 연산 대상의 주소를 기억하고 있는 장소를 표시하는 데 사용된다. 
"1차군, 一次群, primary group",,"다중화 계위의 최하위 단계. 다수의 개별적인 신호들을 하나의 채널이나 선로를 통해 동시에 전송할 수 있도록 하는 것이 다중화인데 전화 채널과 같은 많은 채널 집합의 다중화는 단계적으로 이루어진다. 즉 기본 신호들이 먼저 하나의 1차군으로 다중화되고 다음에 1차군의 집합이 하나의 군으로 다중화된다. 음성 채널의 주파수 분할 다중화(FDM)에서의 1차군은 기초군(base group)이라고 하는데, 이것은 12채널로 구성되며 주파수 대역폭은 4kHz×12=48kHz이다. 시분할 다중화(TDM) 방식의 펄스 부호 변조(PCM) 채널의 1차군은 24개 음성 채널(미국, 일본) 또는 30개 음성 채널(유럽, 한국)로 구성되며 전송 용량은 각각 1.544Mpbs와 2.048Mbps이다."
"1차군 속도 인터페이스, 一次群速度-, Primary Rate Interface, PRI",,"종합 정보 통신망(ISDN)에서 대용량 업무용 가입자인 1차군 접속 가입자를 위한 사용자-망 인터페이스(UNI). 1차군 접속 가입자는 디지털 사설 자동 구내 교환기(PABX)나 근거리 통신망(LAN) 등의 설비를 가지고 있는 대용량 업무용 가입자이다. 미국과 일본의 경우 23개의 베어러(B) 채널(64kbps)과 1개의 데이터(D) 채널(64kbps)로 구성된 23B+D의 1차군 전송 구조로 1.544Mbps의 용량의 가입자 회선(T1급)을 제공한다. 유럽과 우리나라는 30개의 B 채널(64kbps)과 1개의 D 채널(64kbps)로 구성된 30B+D의 1차군 접속 구조로 2.048Mbps의 용량의 가입자 회선(E1급)을 제공한다. 인터페이스의 물리적/전기적/논리적 규격은 국제 표준화 기관인 ITU-T의 I.400 계열의 권고에 규정되어 있다. 전화기, PC, 워크스테이션, 팩스 등 복수의 가입자 단말 장치는 PABX나 LAN을 공유하며, PABX나 LAN은 망 종단(NT) 장치를 경유하여 망 제공자의 교환국에 접속한다."
"1차군 접속, 一次群接續, primary access",,"디지털 전송체계의 1차군(1.544, 또는 2.048Mbps급) 채널에 해당하는 접속 서비스를 제공하는 것. 1차군 접속은 디지털 사설 자동 구내 교환기(PABX) 등의 설비를 갖고 있는 대용량 업무용 가입자용으로 제공된다. 1차군 접속의 전송 구조는 각국에서 사용하는 디지털 전송로 규격에 따라 다르다. 종합 정보 통신망(ISDN) 서비스의 경우 미국이나 일본 등에서는 23개의 B채널(64kbps)과 1개의 D채널(64kbps)로 구성되는 23B＋D의 구조로 1.544Mbps의 전송 용량, 유럽과 한국 등에서는 30개의 B채널(64kbps)과 1개의 D채널(64kbps)로 구성되는 30B＋D의 구조로 2.048Mbps의 전송 용량을 제공한다. 1차군 접속은 B채널의 수를 조정하여 nB＋D 구조로 제공될 수도 있고, 3개의 H0 채널(384kbps)과 1개의 D채널(64kbps)로 구성되는 3H0+D 구조로 1.544Mbps의 용량을 제공하거나, 5H0＋D의 구조로 2.048Mbps 용량을 제공하는 등 다양하다."
"1차 논리, 一次論理, first order logic",,"명제 논리를 확장한 것. 원자/항/속성/정량자로 구성되며, 수학적인 언어들이 1차 논리로 기호화될 수 있다."
"1차 레이더, 一次-, primary radar",,목표물을 향해 발사한 전파의 반사파를 수신하여 목표물의 위치를 측정하는 레이더. 보통 레이더라고 할 경우에는 1차 레이더를 말한다. 이와 구별하여 2차 레이더(secondary radar)에서는 특정 신호를 목표물에 보내고 목표물에서의 응답으로 보내오는 송신 신호를 수신하여 분석한다.
"1차 복사기, 一次輻射器, primary horn",,"송수신기로부터 도파관, 동축 케이블 등으로 급전된 전기 신호를 반사경이 있는 쪽으로 향하게 하여 효율적으로 복사하게 하거나, 역으로 반사경으로부터 반사되어 수신된 전자파를 효율적으로 포착하여 급전 회로에 인도하는 반사 안테나의 나팔형(horn) 복사기."
"1차 분배 회선, 一次分配回線, primary distribution link",,프로그램 제작 센터로부터 방송 송신 센터(송신소 포함) 또는 유선 분배망의 헤드엔드까지의 분배망.
"1차 시험대, 一次試驗臺, primary test board",,시외 전화 회로의 시험을 위하여 전화국에서 시외선을 보안 장치를 거쳐 직접 수용하는 시험대.
"1차 업무, 一次業務, primary service",,"주파수 분배표에서 동일 주파수대에서 경합하는 둘 이상의 무선 통신 업무에 대한 주파수 사용 및 할당 우선 순위는 1차 업무, 허용 업무, 2차 업무이다. 1차 업무는 주파수 사용상 허용 업무와 동등한 권리를 갖지만 주파수 할당에서는 허용 업무에 우선한다. 국제 전기 통신 협약 부속 전파 규칙(RR)의 주파수 분배표에서 대문자로 명칭이 표시된(예:FIXED 고정) 무선 통신 업무는 1차 업무이다."
"1차원 망, 一次元網, one-dimensional network",,원칙적으로 2개의 링크(출입)만을 갖는 교환국이 서로 결합되어 구성된 회선망 형태. 이것에는 직선형 망과 직선형 망 1군의 양단을 결합하여 환형으로 한 고리 모양 망 등이 있다. 다단 중계에 따라 전송 회선을 공동으로 이용할 수 있으므로 통화량 처리 능률이 향상되고 제어가 간단해지며 확장이 용이하다.
"1차원 부호화 방식, 一次元符號化方式, one-dimensional coding scheme",,"일반적으로 팩스 신호는 한 선마다 주사되어 백 또는 흑의 화소로 분할되는데, 이 디지털 팩스 신호에 포함되는 불필요한 것들을 억압하기 위해 부호화하려는 선의 정보만을 사용하여 부호화하는 방식."
"1차 이론, 一次理論, first order theory",,"1차 논리에서의 기호, 상수, 변수, 항, 술어의 정의와 우량 형식에 관한 공리, 추론 규칙으로 표현하는 이론. 1차 논리란 술어 기호 내에 또 다른 술어 기호가 나타나지 않는 논리를 의미한다."
"1차 저장 장치, 一次貯藏裝置, primary storage",,마이크로프로세서가 직접 접근하는 주된 저장 장치로 RAM을 말함. 옵션으로 사용하는 디스크나 테이프는 2차 저장 장치 혹은 예비 저장 장치라 부른다.
"1차 정수, 一次定數, primary constant",,"분포 정수 회로에서 단위 길이당의 저항, 인덕턴스, 컨덕턴스, 정전 용량. 통상 R, L, G, C로 나타낸다."
"1차 주파수 표준, 一次周波數標準, primary frequency standard",,"초(second)의 정의에 상응하는 주파수 표준. 매우 정확하며 외부 장치의 교정 없이 자체 내장된 원자 발진기를 사용한다. 반면, 2차 주파수 표준은 외부의 교정을 필요로 한다. 1967년 제13차 국제 도량형 총회에서는 초에 대하여 ‘세슘 원자 133의 기저 상태에서 2개의 미세 레벨들 간의 전이에 상응하는 9,192,631,770 주기의 지속 시간’이라고 정의하였다."
"1차 클록, 一次-, primary clock",,외부로부터 교정을 받지 않고 자체적으로 운용되는 시간 표준.
