"1+1 주소, 一-一住所, one plus one address",동의어 : 1+1 번지,하나의 명령어가 연산자와 데이터 주소 및 다음 명령어 주소로 구성되는 아주 단순한 명령어 체계 또는 방식. 호출 시간이 짧고 계산 속도가 빠르다.
"2진 전치 승수, 二進前置乘數, binary prefix multiplier",,"1998년 국제 전기 표준 회의(IEC)에서 표준으로 인정한 2의 승수를 표시하는 전치 문자. kibi(Ki, 2의 10승), mebi(Mi, 2의 20승), gibi(Gi, 2의 30승), tebi(Ti, 2의 40승), pebi(Pi, 2의 50승), exbi(Ei, 2의 60승) 등이 있다. 예를 들면, 1kibibyte(1KiB)는 1024byte이다."
"2진 정합성 표준, 二進整合性標準, Binary Compatibility Standard, BCS",,"같은 구조(architecture)의 중앙 처리 장치(CPU)를 탑재하고 있는 다른 제조업체의 기계 사이에 응용 프로그램의 2진 레벨 이식성을 확보하기 위한 규격. CPU 고유의 구조에 의존하는 부분도 있으므로 대상으로 하는 CPU마다 규격이 조금씩 다르다. 응용 프로그램 2진 인터페이스(ABI)와 같은 의미이지만 ABI는 유닉스 시스템 V Release 4 기반의 규격이고, 2진 정합성 표준(BCS)은 시스템 V Release 3.2 기반의 규격이다."
"2진 주소, 二進住所, binary address",동의어 : 2진 번지,"컴퓨터의 기억 장치 내에 할당하는 2진수로 된 주소. 디지털 컴퓨터는 처리 지령과 정보 처리를 부호화하여 실행하며, 기능, 정밀도, 속도, 용량 등에서 2원 요소를 조합한 부호로 2진수를 사용한다. 주요 기능인 기억 장치를 비롯한 각 기능은 부호에 따라 처리되고, 여러 가지 정보는 일단 기억 장소에 저장하는데, 기억 장치 내에 할당하는 주소 수치에 2진법을 사용한다. 10진수 주소 방식보다 주소 지정이나 해독기 회로가 간단하다."
"2진 지수 백오프, 二進指數-, binary exponential backoff",,반송파 감지 다중 접속/충돌 탐지(CSMA/CD) 방식의 구내 정보 통신망(LAN)에서 버스상의 충돌이 발생했을 때 전송을 다시 시도하기까지의 지연 시간을 계산하기 위한 연산 중의 하나. 충돌이 일어날 때마다 임의 지연 시간을 점차 늘려 나가는 방식이다.
"2진 체계, 二進體系, binary system",,0과 1의 2개 숫자를 기초로 하여 그 2개의 숫자만을 조합해서 사용하는 수 시스템. 전압이 있고 없음에 따라서 지시되는 on과 off라는 컴퓨터 회로의 두 상태에 의해 0과 1을 표시할 수 있기 때문에 컴퓨터에서 편리하게 사용되고 있다.
"2진 카운트다운, 二進-, binary countdown",,"데이터 통신에서 하나의 지국(station)이 하나의 채널을 점유하면 경쟁 기간 동안에 충돌이 발생하는데, 이러한 충돌을 없애고 경쟁을 해결하기 위해 사용하는 방식."
"2진화 8진수, 二進化八進數, binary coded octal",,"8진수의 숫자를 나타내기 위해 2진수(0, 1)를 사용하는 부호법. 8진법 214는 이 부호법으로 010 001 100으로 표현되며, 2진법으로는 10001100이다. 이 부호법과 2진법이 다른 점은 구두점이 없고 왼쪽 첫머리의 0이 떨어져 나가는 것이다."
"2진화 문자, 二進化文字, binary-coded character",,"10진 숫자나 알파벳, 특수한 문자들을 연속된 2진 부호로 표시하는 표현법."
"2차 CDMA 채널, 二次-, secondary CDMA channel",,이동국이 초기에 저속 확보를 위해 사용하는 미리 할당된 주파수의 CDMA 채널.
"2차 DNS 서버, 二次-, secondary DNS server",,"도메인 네임 서버(DNS)의 일종. 1차 도메인 네임 서버를 보조하며, 1차 도메인 서버 고장으로 큰 부하가 가해져서 응답 성능이 떨어졌을 때 큰 효과를 발휘한다. 2차 도메인 네임 서버는 1차 도메인 네임 서버로부터 받은 데이터 복사본으로 자신의 데이터를 갱신할 수는 없다. 따라서 1차 도메인 네임 서버의 데이터 갱신 시 동기되어 최신 데이터가 유지된다. 2차 도메인 네임 서버와 유사한 것으로는 캐시 도메인 네임 서버가 있다.→도메인 네임 서버"
"2차 감시 레이더, 二次監視-, Secondary Surveillance Radar, SSR",,지상에서의 질문 전파 방사에 대응해서 항공기의 ATC 트랜스폰더로부터 송출되는 응답 전파를 근거로 항공기의 식별과 고도 등의 정보를 획득하여 레이더 스코프상에 표시하기 위한 레이더.
"2차 감시 레이더 모드 S, 二次監視-, Secondary Surveillance Radar Mode S, SSR mode S",,"2차 감시 레이더(SSR)의 감시 기능을 향상시켜 데이터 통신 기능을 부가한 시스템. 모드 S는 지상의 질문 장치(모드 S 감지기)와 항공기의 응답 장치(모드 S 트랜스 폴더) 등으로 구성되어 있으며, 질문 및 응답 주파수는 SSR과의 양립성을 갖도록 하기 위해서 SSR에서 사용하는 것과 동일하다. 2차 감시 레이더 모드 S에서는 항공기 식별을 위한 코드를 종래의 12비트에서 24비트로 확대함으로서 개개 항공기에 고유 부호를 붙일 수 있다."
"2차군 속도 인터페이스, 二次群速度-, secondary rate user-network interface",,"고속 디지털 전송 서비스에서 제공하는 사용자-망 인터페이스의 하나. 전송 속도와 다중화 회선 수를 한국과 유럽은 8,448Mbps/ 120ch를 채용하고 있으며 미국과 일본 등은 6,312Mbps/96ch를 채용하고 있다."
"2차 데이터 사용, 二次-使用, secondary data uses",,개인 정보를 1차로 수집한 이외의 사람을 위해 사용하는 것. 공정 정보 규정(FIP)에서는 특정 목적을 위해 개인 정보를 제공할 수 있다고 규정하고 있다.
"2차 레이더, 二次-, secondary radar",,①목표가 갖고 있는 응답기를 구동시킴에 따라 발생하는 응답 신호를 사용하는 레이더. ②트랜스폰더를 갖춘 물체 표적과 함께 동작하는 레이더.
"2차 링, 二次-, secondary ring",,"광섬유 분산 데이터 인터페이스(FDDI : fiber distributed data interface) 링이나 동선 분산 데이터 인터페이스(CDDI : copper distributed data interface) 링을 구성하는 2개의 링 중 하나. 흔히 2차 링은 1차 링이 고장났을 때 사용할 수 있도록 보류된다. 또한 리던던트 백업 패스(redundant backup pass) 기능을 가지며, 별도의 100Mbps의 전송로 역할도 한다."
"2차 방사, 二次放射, secondary radiation",,도래(arrival) 전파를 받아서 안테나 소자에 유기 전류(induced current)가 흐를 때 그 전류로 인해 새로운 전파의 방사가 발생하는 것.
"2차 분배 회선, 二次分配回線, secondary distribution link",,유선 분배망의 헤드엔드로부터 종합 유선 방송(CATV) 가입자까지의 분배망. →1차 분배 회선.
"2차 업무, 二次業務, secondary services",,"주파수 분배표에서, 동일 주파수대에서 경합하는 둘 이상의 무선 통신 업무에 대한 주파수 사용 및 할당 우선 순위는 1차 업무, 허용 업무, 2차 업무이다. 2차 업무는 1차 업무와 허용 업무 다음의 우선 순위를 갖기 때문에 2차 업무의 무선국은 이미 주파수를 지정받았거나 추후에 지정받을 1차 업무, 허용 업무의 무선국에 대해서 혼신을 일으켜서는 안 되며 1차 업무, 허용 업무의 무선국으로부터의 혼신에 대한 보호를 주장할 수도 없다. 국제 전기 통신 협약 부속 전파 규칙(RR)의 주파수 분배표에서 첫 글자만 대문자로 표시되어 있는(예:Mobile 이동) 무선 통신 업무는 2차 업무이다."
"2차원 망, 二次元網, two-dimensional network",,분산된 교환국을 2차원적으로 결합하여 얻는 회선망 형태. 이 망의 특징은 다단 중계나 회선 공용에 의한 회선의 트래픽 처리 능률의 향상 및 접속 계로(繼路)가 면으로 넓어져 가는 데 따라 경로 선택의 자유도가 향상된다는 것이다. 대표적인 예로는 1국(局)으로부터의 링크(출입 회선 경로)가 3방향으로 분기하는 형태인 벌집[蜂巢]형 망과 1국으로부터의 링크 4방향으로 분기하는 형태인 격자형(格子形) 망이 있다.
"2차원 바코드, 二次元-, 2-dimensional barcode",동의어 : 2차원 막대 부호,"조그만한 사각형 안 가로와 세로 (x,y) 양방향으로 점자, 또는 모자이크식 코드로 표현한 평면 바코드. 따라서 기존 1차원 바코드보다 월씬 많은 고밀도 정보를 담을 수 있다. 어느 방향으로 스캐너를 들이대도 인식되고, 정보가 훼손되어도 상당 부분 복구가 가능하며, 기존 바코드와 달리 데이터베이스 없이도 그 자체로 해당 정보를 파악할 수 있다. 바코드 자체에 문자, 숫자 등 텍스트는 물론, 그래픽, 사진, 음성, 지문, 서명 등 다양한 형태의 정보를 저장할 수 있어 바코드를 읽기만 하면 그 내용이 컴퓨터 화면에 나타난다. 특히 2차원 바코드는 암호화가 가능해 멤버십 카드 등 각종 인증 시스템으로도 활용될 수 있으며, 휴대폰의 액정에 전달되어 티켓 대신 사용될 수도 있다. 전 세계적으로 이미 표준화되어 있다."
"2차원 부호화, 二次元符號化, two-dimensional coding",,"팩스의 중복성 억압의 한 형식으로, 팩스 정보(원고 정보)가 주 주사 방향뿐 아니라 부 주사 방향에도 중복성을 가지고 있는 것에 착안하여 여러 개의 주사선의 정보를 택하여 효율적으로 부호화하는 방법. 이 방법은 다음과 같이 크게 2가지로 나눌 수 있다. ㉠일괄 처리 부호화:여러 개의 주사선을 모아서 부호화하는 방법. ㉡순차 처리 부호화:부호화가 끝나기 직전의 주사선 정보까지 이용하여 부호화하는 방법. 순차 처리 부호화의 대표적인 것으로 ITU-T 권고 T.4에 규정되어 있는 변형 READ 부호화가 있다. 이것은 부호화하고자 하는 주사선의 흑백의 변화 화소(畵素)의 위치를 직전 주사선의 변화 화소에 대하여 어긋난 양(단, ±3화소 이하)으로 표시하는 부호와 런 렝스 부호 등을 조합하여 표시하는 방법이다."
"2차 인접 채널, 二次隣接-, second adjacent channel",,일단의 주어진 전파 채널들에서 특성 주파수가 상위 인접 채널의 주파수 바로 위 또는 하위 인접 채널의 주파수 바로 아래에 위치하는 RF 채널.
"2차 전지, 二次電池, secondary battery",,"충전과 방전을 반복할 수 있는 전지. 양극, 음극, 전해질, 분리막, 용기로 구성되며, 양극과 음극 사이의 전해질을 통하여 리튬 이온이 이동하는 전기적 흐름에 의해 전기가 발생한다. 충전은 양극에서 분리막을 지나 음극으로 이동하는 것이며, 방전은 음극에서 양극으로 이동하는 것이다. 종류는 납축전지, 니켈 카드뮴 전지(Ni-Cd), 니켈 수소 전지(Ni-MH), 리튬이온/폴리머 전지(LiB/LiPB) 등이 있다."
"2차 전지 보호 회로, 二次電池保護回路, 2nd Battery Smart Circuit Module, 2차 전지 SCM",,"2차 전지의 과충전, 과방전, 과전류를 방지하려고 쓰는 보호 회로. 리튬이온 2차 전지의 주요 소재는 양극과 음극 활물질이다. 양극 활물질과 음극 활물질은 혼합되지 않게 격리하는데, 불량으로 혼합되거나 습기, 먼지 같은 이물질이 들어갈 경우 과방전이나 과충전, 충격으로 폭발할 수 있다. 이런 사고를 방지하는 안전 장치가 바로 보호 회로다. 2차 전지 PCM(Protection Circuit Module)이라고도 한다."
"2차 주파수 표준, 二次周波數標準, secondary frequency standard",,1차 주파수 표준과 같이 자체의 고안정도 발진기(세슘 원자 발진기 등)를 내장하지 않아 외부로부터 교정을 필요로 하는 주파수 표준. 1차 및 2차 주파수 표준에 사용된 장비가 동일한 회사 제품이라 할지라도 업무 체계상 1차 또는 2차 표준으로 구분하는 경우도 있다.
"2차 키, 二次-, secondary key",,파일에서 원하는 레코드를 찾아내기 위해 탐색을 할 때 1차 키를 제외한 나머지 모든 키. 1차 키는 유일해야 하지만 2차 키는 다른 부분과 반드시 구별될 필요는 없다.
"2항 계수, 二項係數, binomial coefficients",,"이항 분포의 확률 P(n, x, p)를 그 사상의 출현 횟수 x의 모든 경우의 수에 대하여 합하면 그 값은 1이 되며, 다음과 같이 정의할 수 있다.nC0qn＋nC1pqn-1＋nC2p2qn-2＋……＋nCxpxqn-x＋…＋nCnpn＝1이 식의 좌변을 이항식 (p＋q)n의 전개식이라고 하며, 이 전개식에서 각 항의 계수의 수 nCx를 2항 계수라 한다."
"2항 연산 기호, 二項演算記號, binary operator",,"2개의 항을 가지는 산술 연산 기호. 절대식, 재배치 가능식, 산술식 등에 사용되는 2항 연산 기호는 ＋(덧셈), -(뺄셈), *(곱셈), /(나눗셈)이다."
"3+1 주소, 三-一住所, three plus one address",동의어 : 3+1 번지,"피연산자들과 명령어들의 위치를 명기해 주는 방법. 2개의 피연산자와 연산의 결과, 다음에 수행될 명령어의 저장 장소가 명시된다."
"32비트 CPU, 32bits central processing unit",,"모든 내부 처리 기기가 32비트를 기준으로 되어 있는 중앙 처리 장치(CPU). 대표적인 CPU로는 IBM사 등이 개발한 PowerPC, 인텔사가 개발한 i486 계열 및 펜티엄 계열 등이 있다."
"32비트 버스, 32bits bus",,"한번에 32비트의 정보를 전송할 수 있는 확장 버스. 대표적인 32비트 버스로는 PCI(peripheral component interconnect) 버스와 EISA(extended industry standard architecture) 버스가 있다. 컴퓨터로 처리할 수 있는 정보량은 계속 증가되어 64비트 폭의 PCI 버스도 규격이 책정되어 있다. →PCI 버스, EISA"
"3CCD 방식, -方式, three-Charged Coupled Device system, three-CCD system",,흑백 정보만 입수할 수 있는 전하 결합 소자(CCD)로써 컬러 필터를 사용하지 않고 컬러 화상을 얻을 수 있는 방식. ‘3판식’이라고도 한다. 컬러 필터를 사용하는 방식(단판식: 單板式)과 달리 화소 단위마다 완전한 컬러 정보를 가지고 있기 때문에 선명하고 정밀한 사진을 촬영할 수 있다. 이 방식은 비디오 카메라의 기본으로서 업무용이나 일부 가정용으로 사용되고 있다.
"3C 융합, 三-融合, Communication, Consumer electronics, Computer Amalgamation, 3C Amalgamation",,"통신(Communication), 소비자 가전(Consumer electronics), 컴퓨터(Computer)의 첫 글자를 따서 만든 용어. 서로 다른 산업 간 융합을 말한다. 그동안 개별적으로 진화해 온 TVㆍ가전ㆍ컴퓨터가 융합되어 홈 디지털 오락이라는 새로운 시장이 형성되면서 게임 업체와 TV 제조 업체 등이 마케팅 제휴를 벌이는 등 활발한 산업 간 융합을 보여 준다.&nbsp;"
"3dB 결합기, -結合器, 3dB coupler",,"전송 선로에서 2개의 출력이 각각 반반씩의 전력이 되도록 입력 전력을 균등하게 배분하는 기능을 가진 결합기. (2n＋1)×λ/4 길이의 결합 선로로 구성되는 결합비가 3dB의 방향성 결합기 누설 단자 쌍에 같은 진폭으로 90°의 위상차로 나타나고, 나머지 단자 쌍에는 전혀 출력이 나타나지 않는다. 이 성질을 이용하여 고주파 신호의 합성 또는 분배를 할 수 있다."
"3dB 대역폭, 三-帶域幅, three dB band-width",,"필터, 증폭기 등의 진폭, 주파수 특성이 3dB의 변화 범위에 들어가는 대역폭."
"3DTV 크로스토크, 3DTV Crosstalk",,3DTV의 좌우 영상이 겹쳐 보이는 현상. 3DTV 시청 시 왼쪽 눈과 오른쪽 눈의 영상이 서로 겹쳐 보이는 현상으로 입체감을 떨어뜨리고 어지럼증을 유발해 3DTV의 가장 큰 단점으로 꼽힌다.
"3D 그래픽스 가속기, -加速機, 3D graphics accelerator, 3DGA",,"입체 화상 처리 전용 기능을 내장한 그래픽 표시용 보드. ‘3D 가속기’라고도 하는데, 보통 표시하고 있는 그래픽은 2차원으로 3D 가속기가 필수적인 것은 아니다. 그러나 게임에서는 3D를 이용한 그래픽이 증가되는 경향이고, 화상 데이터를 작성할 때 XY축을 기본으로 Z축을 추가, 처리하고 있다. 이와 같은 처리 과정을 거쳐 만든 3D 화상을 이제까지의 가속기나 중앙 처리 장치(CPU)로 처리하면 화상의 움직임이 매우 늦기 때문에 3D 화상 전용 처리 기능을 가진 3D 그래픽 가속기가 등장하였다. 일반적으로 3D 가속기라 부르는 경우, 3D 화상 처리 기능을 강화한 보드만을 지칭한다. 이전의 그래픽 가속기는 윈도즈의 2D 그래픽 표시만을 고속화하고 있으나 현재 시판되고 있는 그래픽 보드의 대부분은 3D 기능을 구비하고 있다."
"3D 변환 기술, 三-變換技術, 3D converting technology",,"2D 영상을 3D 영상으로 변환하는 기술. 부족한 3D 콘텐츠를 확보하기 위하여 개발한 기술로, 3D로 제작되지 않은 2D 영상이라도 콘텐츠 제공자 측에서는 컴퓨터 변환 프로그램으로 2D 장면 하나하나를 3D로 제작하고, 단말 측에서는 3D 컨버터 칩을 장착하여 실시간으로 2D 영상을 3D로 변환한다."
"3D 브라우저, 3D browser",,"여러 개의 브라우징 창에 이미지 및 3D 파일을 표현하고 검색ㆍ관리하는 기능. 다수의 파일 형식을 제공하며, 집단별 파일 일괄(batch) 처리 기능, JPEG 영상 회전 처리 기능, 파일에 붙인 키워드에 의한 검색 기능, 이미지의 수정ㆍ변환 기능(잘라내기, 회전, 슬라이드 쇼 등)을 가지고 있다."
"3D 스위트닝, 3D Sweetening",,인간 친화적인 입체 영상을 구현하는 기술. 3D 영상을 볼 때 받는 눈의 피로와 빛에 대한 과민에 안정을 확보하려고 기존 3D 입체 영상에 인간적인 요소(Human Factor)를 기반으로 한 제작 기술을 접붙여 더 인간 친화적인 3D 입체 영상을 만들어 내는 기법을 말한다.
"3D 액정 표시 장치, -液晶標示裝置, 3D Liquid Crystal Display, 3D LCD",,"특수 안경을 쓰지 않아도 양눈의 시각 차이를 이용하여 각각 다른 화면이 보이도록 한 액정 표시 장치(LCD). 상품화되어 있는 제품의 예로서, 샤프사의 RD3D는 전통적인 2D 능동 매트릭스 디스플레이의 뒷면에 시차 방벽(parallax barrier)이라는 또 다른 제2의 매트릭스를 추가하여, 2D 모드로 동작할 때는 투명하나, 3D 모드일 때는 전환형 LCD가 왼쪽과 오른쪽 눈에 교대로 픽셀을 보내 3D 효과를 일으키는 원리로 되어 있다."
"3D 영상 신호, -映像信號",,3D 전용 단일 스트림과 3D 전용 이중 스트림을 포함하며 왼쪽 영상과 오른쪽 영상이 방송 스트림 내에서 일정한 규칙에 의해 결합된 영상 신호.
"3D 전용 단일 스트림, -專用單一-",,좌 영상과 우 영상이 단일 부호화기를 거쳐 생성된 하나의 엘리멘터리 스트림(ES)으로 구성된 3D스트림. ※ 관련 : TTA 단체표준 TTAK.KO-07.0100 '지상파 3DTV 방송 송수신정합'
"3D 전용 이중 스트림, -專用二重-, 2ES",,좌 영상과 우 영상이 개별적인 부호화기를 거쳐 생성된 두 개의 엘리멘터리 스트림(ES)으로 구성된 3D스트림. ※ 관련 : TTA 단체표준 TTAK.KO-07.0100 '지상파 3DTV 방송 송수신정합'
"3F 반도체, -半導體, Fusion, Future, Frontier semiconductor",,"시장 수요와 기술 로드맵을 기초로 하여 비메모리(Fusion) 반도체, 나노 집적 공정(Future) 반도체, 포스트 디바이스(Frontier) 반도체 등을 물리적·전자적으로 결합해 제조하는 것."
"3G 주파수, 三-周波數, Third Generation Frequency",,"3세대 이동 통신(3G) 용도로 허가된 주파수. 1992년 2GHz 대역(1885 ~ 2025㎒, 2110 ~ 2200㎒)이 3G(IMT-2000)용으로 국제 분배되었으며, 2000년에는 기존의 이동 통신 대역인 806 ~ 960㎒, 1710 ~ 1885㎒, 2500 ~ 2690㎒를 추가 분배했다. 현재 미국에서는 800㎒와 1900㎒(CDMA, GSM) 대역, 유럽은 900㎒, 1800㎒(GSM), 2100㎒(W-CDMA) 대역, 일본은 800㎒, 1500㎒, 1700㎒(CDMA, PDC), 2㎓(W-CDMA) 대역을 사용하여 서비스를 제공하고 있다. 일부 주파수 대역은 2세대 이동 통신 서비스와 공동으로 사용하고 있으나, 앞으로 3G 서비스로 전환될 예정이다."
"3LCD 프로젝터, Three Liquid Crystal Display Projector",,"프로젝터의 램프 광원이 투과되는 액정 표시 장치(LCD)가 3개여서 붙여진 명칭. 3LCD는 램프에서 나온 빛을 LCD 패널을 통해 렌즈에서 확대하기 전에 색깔별로 나뉜 빨강, 파랑, 초록의 3LCD를 쓰기 때문에, 원색에 충실하고 프로젝터 화면을 더욱 밝게 만들 수 있다."
"3R 기능, 三-機能, reshaping, retiming, regenerating, 3R",,"디지털 전송시스템에서 중계기가 수행할 가장 필수적인 기능 3가지, 즉 파형 정형(reshaping), 리타이밍(retiming), 식별 재생(regenerating).  아날로그 전송과는 달리 디지털 전송은 중간에 각종 잡음과 방해가 있었어도 원래의 데이터를 재생하거나 복구해 낼 수 있다는 특징이 있다. 신호 전송 과정에서 이러한 목적의 장치가 중계기이며, 이때 필요한 기능이 곧 3R 기능이다. 파형 정형은 찌그러져 수신된 신호 파형을 복원하는 것이고, 리타이밍은 수신된 신호로부터 클럭 성분을 검출한 후 이를 기반으로 새로운 클럭을 발생시켜 시간 기준을 재정렬하는 것이며, 식별 재생은 복원된 신호와 리타이밍된 클럭으로 데이터를 판별한 후 오류 정정 과정을 거쳐 원래와 동일한 데이터를 재생해 내는 것이다. 따라서 모든 중계기의 출력 상태는 바로 그 전 중계기의 출력 상태와 동일하며, 결국은 최초 송신 단국의 출력과 동일하여 최종단에서도 원래의 데이터를 복원할 수 있게 된다."
"3R 운동, -運動, Reduce, Reuse, Recycle, 3R",,"절약(reduce)ㆍ재사용(reuse)ㆍ재활용(recycle)의 각 첫머리 글자를 딴 환경 운동. '절약'은 자원과 물자를 절약하여 오염물질의 배출량을 줄이는 것이고, '재사용'은 헌가구ㆍ헌옷ㆍ헌책 등을 가능하면 다시 사용하는 것이며, '재활용'은 신문지ㆍ병ㆍ캔 등을 자원화해서 다시 사용하는 자원 순환형 사회를 실현하려는 운동이다."
"3W 망, 三-網, 3W Network",,"3개의 W로 시작하는 무선망을 통틀어 가리키는 말. 이동 통신(WCDMA), 휴대 인터넷(WiBro), 무선 랜(Wi-Fi)을 말한다."
"3계층 구조, 三階層構造, 3 tiered architecture",,"시스템 성능이나 개발, 유지 보수의 효율 개선을 위해 클라이언트/서버의 응용 프로그램 구조를 표현(presentation), 응용(application), 데이터(data) 등 3개의 논리적 기능 모듈로 나눈 형태. 3계층 구조는 2계층 구조에서 각 클라이언트에 분산되어 있던 응용 기능들을 서버로 옮겨 별도의 층으로 독립시킨 것이다. 표현층은 클라이언트의 브라우저와 서버의 웹 프로그램이 주고받는 그래픽 사용자 인터페이스(GUI)로 표준화되고, 각종 응용에 따라 데이터를 처리하고 표현층에 연결해 주는 응용층은 재사용 가능한 모듈로 전문화되었다. 그 결과 클라이언트의 기능이 단순ㆍ표준화되고(브라우저), 클라이언트와 서버 간의 통신량이 줄어 들며(인터넷 회선), 다수의 클라이언트 환경에서도 견딜 수 있고(포털 사이트), 클라이언트가 직접 데이터베이스에는 접속할 수 없도록 함으로써 시스템의 안정성과 보안을 향상시킬 수 있게 되었다. 이 밖에 응용 프로그램들이 각각 독립된 모듈로 분리되어 개발 및 재활용성이 증대하고, 규격 변경 작업 등이 손쉽게 된다는 장점이 있다."
"3권 변성기 코일, 三卷變成器-, hybrid coil",,"4선식 회선과 2선식 회선을 접속시키는 변성기로, 하나의 자심(磁心)에 3권선을 감은 것과 2개의 변성기를 조합하여 구성한 것. 코일 대신에 저항을 쓴 저항 하이브리드도 있다."
"3레벨 메이저, 三-, three level maser",,"세 에너지 준위를 사용한 메이저 장치. f31이라는 주파수의 충분한 방사가 시료로 주어지면 1과 3의 레벨에 대한 분포는 보통 볼츠만 분포에서 떨어져 레벨 3에 속하는 원자 수 N₁과 거의 같아진다(포화 상태). 이와 같은 상태에서 레벨 2와 레벨 1 사이에서는 반전 분포(反轉分布)가 생기고 f21인 주파수의 신호 증폭이 실시된다. 같은 원리의 레이저도 있다. 펌프 에너지를 공급하여 신호 증폭을 하는 장소로서 공동 공진기(共洞共振器)를 사용하는 것과 도파관 내에서 진행파관의 원리를 이용하는 것이 있다. 저잡음 마이크로파 증폭기로서 초원거리 레이더, 우주 통신, 전파 천문 등에 사용된다."
"3배 길이 레지스터, 三倍-, triple length register",,단일 레지스터로서의 기능을 가진 3개의 레지스터. 3배 길이 레지스터는 다음과 같은 목적으로 사용된다. ㉠곱셈에서의 값을 기억한다. ㉡나눗셈에서 부분 몫과 나머지를 기억한다. ㉢문자 조작에서 문자열을 자리 옮김하여 왼쪽 또는 오른쪽 부분으로 접근한다.
"3배 속도 클록, -三倍速度, clock tripling",,"클록 주파수를 변경하지 않고 중앙 처리 장치(CPU)의 데이터 및 명령 처리 속도를 컴퓨터 시스템의 다른 구성 부분의 3배로 증가시키는 기술. 최초로 이 기술이 채용된 CPU는 미국 인텔사가 1993년에 발표한 i486 DX4인데, 내부 처리 속도는 75MHz 또는 100MHz이지만 시스템의 다른 부분의 처리 속도는 각각 25MHz 또는 33MHz이다. 클록 주파수를 CPU 내부에서 3배로 증가시킨다는 의미에서 클록 3배가라고 하며, i486 DX4와 같은 CPU를 클록 3배가 CPU(clock-tripled CPU)라고 한다. 클록 3배가는 컴퓨터의 처리 속도를 3배로 높이기 위한 것이지만, CPU의 처리 속도를 3배로 해도 주기억 장치인 RAM이나 주변 장치와 데이터를 주고받는 속도는 변하지 않기 때문에 컴퓨터 전체의 처리 속도는 정확하게 3배가 되지는 않는다."
"3배 정밀도, 三倍精密度, triple precision",,어떤 하나의 수를 나타낼 때 요구되는 정밀도에 따라서 3개의 기계어(machine language)를 사용하는 것에 관한 용어.
"3상태, 三狀態, tri-state",,"논리 회로의 출력 상태가 3가지로서 1의 상태는 전기적으로 하이 레벨(H)이고, 0의 상태는 로 레벨(L)이며, 나머지 상태는 고 임피던스(회로가 끊어진 상태)인 것."
