제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
전기 이륜자동차 분류기준 현황 : 자동차관리법 중심,정윤재,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2011No.9[2011]
",2011,Korean,,556.0,,"학술저널
",http://www.ksae.org,1-14,,,, DBpia,,,,
자동차 사회의 환경과 에너지 문제 = 자동차 엔진 기술의 역사적 동향,김영길(Yong Kil Kim),한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2014No.11[2014]
",2014,Korean,"Internal Combustion Engine(내연기관),Energy (에너지),Environment(환경),Pollution(오염물질)",,,"학술저널
",,1477-1477,,,, DBpia,,,,
수소 연료전지 자동차의 충돌 및 화재안전성 관련 연구동향 = Trends on Crash and Fire Safety Research of Hydrogen Fuel Cell Vehicles,"임재문(Jae Moon Lim),장형진(Hyung Jin Chang),김규현(Gyuhyun Kim)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2008]
",2008,Korean,"Hydrogen Fuel Cell Vehicle(수소 연료전지 자동차),Crash Safety(충돌안전성),Fire Safety(화재안전성),Global Technical Regulation(세계기술기준),Electrical Shock(전기충격),Flammability(인화성)",,,"학술저널
",http://www.ksae.org,1253-1258,,,, DBpia,,"환경문제에 따른 배기가스 배출저감 및 자원고갈에 따른 대안으로 향후 수소 연료전지 자동차의 본격적인 시장진입이 예상되고 있다.
  자동차 제작사 및 세계 각국의 정부 등은 수소 연료 전지 자동차가 기존의 내연기관 자동차와 동등 이상의 안전성을 확보할 수 있는 부품기술, 자동차 제작기술 및 이와 관련된 안전기준을 개발하기 위하여 많은 노력을 기울이고 있다.
  독일과 미국은 이미 수소 연료전지 자동차에 관한 안전기준을 제정한 일본과 협력하여 세계기술기준(GTR)을 제정하고자 시도하고 있으며, 우리나라도 이러한 주변 상황에 대응하기 위하여 수소ㆍ연료전지 자동차의 안전성 평가기술 개발에 관한 5개년 연구 과제를 2007년말부터 착수하였다. 이 연구는 수소 연료전지 자동차에 관한 제도 및 정책 연구, 수소 안전성 기술, 수소 연료전지 자동차 운행 안전성 기술 및 전기 안전성 기술에 관한 연구를 망라하고 있으며, 안전기준 및 안전성 평가기술을 개발하여 수소 연료전지 자동차관리정책에 반영하는 것을 목표로 하고 있다.
  수소 연료전지 자동차 및 수소저장탱크를 포함한 연료시스템의 충돌 및 화재안전성에 관한 평가방법 및 안전기준 등을 도출하기 위해서는 정면/측면/후면충돌 및 전복 등과 같은 다양한 환경에서 실차시험을 수행하고, 이로부터 도출된 실제 결과를 반영하여야 할 것이지만, 수소 연료전지 자동차를 제작하는 비용이 매우 고가이므로 충돌시험으로부터 구할 수 있는 실제 데이터는 상대적으로 많은 제한이 있을 것으로 예상되고 있다. 이러한 점을 극복할 수 있도록 충분한 검토가 이루어져야 하며, 이에 따른 방안도 수립될 수 있어야 할 것으로 판단된다.","The researches on the crash and the fire safety of hydrogen fuel cell vehicles (HFCV) have been progressing worldwide. Japan has already established and adopted a regulation to evaluate the performance of a HFCV. The National Highway Traffic Safety Administration (NHTSA) of the U.S. has been leading the hydrogen safety research program since 2004. The SAE FCV Safety Working Group has been addressing fuel cell vehicle (FCV) safety for over 8 years. The recommended practice for general fuel cell vehicle safety (SAE J2578) was published in 2002. The SAE Working Group is now developing a new recommended practice on vehicular hydrogen systems (SAE J2579). To develop a global technical regulation (GTR) concerning hydrogen/fuel cell vehicles, Germany, Japan and the U.S. submitted the proposal to United Nations World Forum for the Harmonization of Vehicle Regulations. Korea has started the research program on the development of safety evaluation techniques for hydrogen fuel cell vehicles in 2007. This paper explores research issues related to the crash and fire safety of HFCV.","Abstract
1. 서론
2. 수소의 특성
3. 충돌 및 화재안전성 관련 연구 동향
4. 고찰
5. 요약
후기
References
"
차세대 자동차 개발의 Plastic Hood 설계 및 CAE해석 = Plastic Hood layout of next generation car development and CAE(Computer Aided Engineering) analysis,"황태원(Taewon Hwang),최치훈(Chihoon Choi),박상선(Sangsun Park),유경민(Kyungmin You),이석우(Seokwoo Lee),우창진(Changjin Woo),한종헌(Jonghun Han),고태완(Thaewan Ko)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2006]
",2006,Korean,"HOOD(본넷트),Distance(이동량),LS-DYNA(구조해석),MOLDFLOW(유동해석),Bending(휨),Torsion(뒤틀림),Glass-Fiber(유리섬유),Injection Screw(사출 스크류)",,,"학술저널
",http://www.ksae.org,2032-2032,,,, DBpia,,"현재 생활 필수품 중의 하나인 자동차논 많은 변화를 보이고 있다. 발전사를 살펴보면 무동력 자동차를 시작으로 화력 자동차 중기 자동차 디젤 자동차로 현재는 태양열 자동차, 에어원료 자동차 등도 개발하고 있는 상태로, 내부의 기계적인 발전이 이루어져 있으며, 현재는 차체의 소재 개발 및 구조적인 면을 보강하여 차체의 질적 향상에 따른 원가 절감, 중량 절감, 설비 감소 등을 사출 기술을 이용하여 산업에 다변화를 꽤하는 사업이 진행 중 이다.
  본 발표 내용은 자동차 기술개발 사업에 일환으로 현대기아 자동차와 함께 진행하고 있으며 발표의 내용은 기존 차량의 Steel Hood 대비에 따른 Hood Plastic화를 목표로 하며 현재 금형 및 Sample를 제작한 단계이다.
  구조 강성해석에서 Modeling Prepost는 Hyper Work 7.0을 사용, 구조해석에 사용한 Solver는 LS-DYNA를 사용하였으며, 유동해석은 MOLDFLOW Solver을 사용하였다. 연구 진행 중인 Hood는 OTR PNL을 포함한 Hood Full Model로 해석을 진행 그에 따른 결과는 Steel 대비에 가까운 값을 가졌으며, 사출 적용에 따른 Model 변경 해석결과 기존 해석에 비해 높은 값을 가진 것은 Rib의 구조적 인 면이 크게 작용한 것이라 샤료된다.",,
자동차 산업의 역사와 급변하는 기술에 대응한 교육의 바람직한 방향에 관한 연구 = History of Automobile Industry and Future Direction of Best Education System for Rapid Technological Change of Automobile Industry,황경수(Kyungsoo Whang),한국자동차공학회,한국자동차공학회 Workshop,"Vol.2001No.-[2001]
",2001,Korean,,,,"학술저널
",http://www.ksae.org,70-80,,,, DBpia,,"오늘날 급속히 변화하고 있는 자동차 기술에 대응한 자동차 기술교육의 방법을 모색하여 대학을 졸업한 학생들의 현장 적응 능력을 높이고, 교육기관의 위상을 정립하고자 하는데 본 연구의 목적이 있다. 자동차의 기술은 일반제품 들과 달라서 사람의 생명을 담보로 하고 있기 때문에 그 정밀도와 신뢰도는 절대적이어야 한다. 특히 현재와 같은 초고속 다변화의 자동차 기술은 기계공학의 한계를 넘어 인공위성을 통한 정보의 교류와 인공지능, 신소재의 급속한 발달로 제한된 기간에 완성해야하는 대학교육을 통한 기술전수에 한계가 있었고, 이에 대비한 자동차기술교육방향의 확립은 시급한 시점에 왔다 할 것이다. 본 논문에서는 현재까지의 우리나라 자동차기술교육의 역사와 급격한 기술변화에 따른 보완 및 개선점, 현재 붐을 이루고 있는 민간자동차자격제도와 미국자동차정비사자격시험(ASE)시행에 대하여 기술하였다.",,"초록<br/>
1.서론<br/>
2.국내 자동차기술교육의 역사<br/>
3.민간자동차자격제도와 미국자동차정비사자격시험(ASE)<br/>
4.결론<br/>
참고문헌"
무인 자율주행을 위한 전기자동차 플랫폼 및 경로계획 알고리즘 개발,"김인엽(Inyup Kim),양관석(Kwansuk Yang),윤준상(Junsang Yun),황성호(Sungho Hwang)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2013No.5[2013]
",2013,Korean,"Autonomous vehicle(자율주행 자동차),Vision sensor(카메라센서),Laser scanner(레이저스캐너),Lane detection(차선검출),GPS(위치파악 시스템)",,,"학술저널
",,1772-1775,,,, DBpia,,"미래형 자동차 기술개발의 목표는 운전자의 안전과 편의성을 극대화 하는 지능형 자동차 기술과 저탄소, 고연비의 조건을 만족시키는 친 환경 기술에 집중되고 있다. 이러한 목표는 궁극적으로 친환경과 지능형을 만족하는 무인 전기자동차가 될 것이다.
  무인 자율주행을 위해서 카메라나 Laser Scanner, Radar, GPS등의 센서 정보를 이용하여 차량 주변상황을 감지하여 경로를 생성하고 사람의 조작을 대신하는 각종 액추에이터를 이용하여 자동차가 이동하고자하는 목표 지점까지 안전하게 운행할 수 있어야 한다. 세계 각국에서는 이러한 기술을 선점하기 위해 대회나 프로젝트를 통해 많은 비용과 노력을 기울이고 있으며 신뢰성과 탑재비용을 만족하는 기술들은 이미 각 자동차회사마다 ADAS(Advanced Driving System)라는 이름으로 차량에 탑재하여 상용화 되고 있다.
  이에 본 논문에서는 친 환경 자동차인 전기자동차 플랫폼을 개발하였고 이를 활용하여 무인 자율주행 알고리즘을 연구하였다. 무인 자율주행을 위한 각종 액추에이터와 VCU를 구성하였으며 카메라를 이용하여 실시간으로 차선을 검출하는 Lane detection system, GPS와 AHRS센서를 이용한 이동경로 계획, Laser Scanner를 이용한 장애물 검출 알고리즘을 개발하였다. 이를 통해 미래형 자동차인 친환경, 지능형 자동차 개발 방법을 제안하고자 한다.",,"Abstract
1. 서론
2. 자율주행을 위한 전기차 플랫폼 개발
3. 자율주행 알고리즘 개발
4. 결론
References
"
홍익 하이브리드 자동차 소개,홍익 자동차 디자인 팀(Hong-Ik Vehicle Design Team),한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[1993]
",1993,Korean,,,,"학술저널
",http://www.ksae.org,601-606,,,, DBpia,,"날로 심각해지는 공기오염과 화석연료의 한계성에 비추어 볼때 전기자동차의 개발은 필연적이다. 하지만 전기자동차의 실용화에는 배터리의 성능 등 많은 문제점이 있는것으로알려지고있다. 하이브리드 자동차는 전기자동차의 이러한 결점을 보완하기 위하여 현 내연기관 자동차의 장점을 그대로 유지한, 두 자동차 사이에서 징검다리의 역할을 하는 자동차이다. 좀 더 정확하게 말하면 전기자동차의 배터리와 모터 그리고 기존의 자동차에 쓰이는 내연기관을 효가적으로 결합함여 만든 자동차이다. 본 논문의 내용은 홍익 하이브리드 자동차의 개발구상에 대하여 언급하고. 구동원, 차체, 현가장치, 그리고 모터부문에 대한 특징 및 제작과정을 담고있다. 마지막으로 차량제작에 적용되어진 컴퓨터를 이용한 해석내용을 담고 있다.","The inevitable emergence of electric-powered vehicle is the most significant impact upon the automotive world in decades. However, the limitations to current developed electric vehicle, such as poor performance, limited range, heavy weight, and recharging, invoke to consider new type of vehicles with both electric-power and gasoline engine simultaneously, so-called hybrid vehicles. Hybrid vehicles are believed to be the optimal selection for bringing the electric car on the road in the near future at reasonable cost. The concept of Hong-Ik hybrid vehicle is introduced. Fabrication and characteristics of HHV's powertrain, body and suspension are explained. CAE resuls are followed.<br/>
","Abstract<br/>
초록<br/>
1. 서론<br/>
2. 본론<br/>
3. 결론<br/>
참고문헌"
유니소재 및 공법을 적용한 자동차 크래쉬패드 개발,"곽성복,윤성현,이재용,권승용,김재홍,남병국,김유용,윤주호",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2012No.11[2012]
",2012,Korean,"Uni-Material(유니소재),Crash Pad(크래쉬 패드),Door Trim(도어 트림),Micro Cell(경량미세발포),One-piece Molding Process(일체성형)",,,"학술저널
",,2165-2170,,,, DBpia,,"세계 각국은 지역별로 새로운 자동차 배기가스 배출량 및 CO2 배출에 대한 규제와 연비에 대한 새로운 목표를 설정함으로써 자동차 경량화에 대한 의지를 강력하게 표명하고 있다. 한국(지식경제부)에서도 자동차 연비 개선에 대한 새로운 방향 및 가이드 라인을 2009년 6월 제시하였으며, 향후 5년간 약 1,500억원의 연구개발비를 투입하여 매년 자동차 연비를 5%씩 개선하겠다는 계획을 마련하였다. 2015년 세계 각국의 자동차 평균 연비를 예상할 때, 일본 16.8km/liter, 유럽 연합 18.1km/liter, 미국 16.6km/liter, 중국 17.9km/liter 등으로 향후 국산 자동차 경량화를 통한 연비 개선 및 배기가스 배출량 감소는 시급히 추진되어야 할 상황이다. 이러한 세계적인 변화 양상은 자동차관련 업체로 하여금 소재 경량화 이외에도 재료의 일체감을 형성하고, 재활용 비율을 높이기 위하여 소재의 통합화(Consolidation)를 이루고, 부품 제조 공정 단순화를 통하여 이산화탄소 발생을 저감시키는 친환경 개발도 유도하고 있다. 따라서 본 과제를 통하여 지금 세계적으로 활성화되고 있는 경량화, 친환경성, 공정축소를 통한 생산성 향상에 가장 적합한 기술개발로 Cockpit Module 부품 및 Door Trim의 신소재(경량화 Module, Thermoplastic)화, 생산기술(중량 및 부품 수 감소)향상, 부가기능(안정성·소음·강도·해석 등)에 대한 복합적인 연구로 세계적인 자동차 내장부품 선두업체로서의 기술개발에 대한 심도 있는 연구 사례가 될 수 있도록 할 계획이다.",,"Abstract
1. 기술 개요
2. 2장 핵심 기술
3. 국내외 기술현황
4. 파급효과 및 결론
References
"
상용자동차 자동차안정성제어장치(ESC) 성능평가 방법에 대한 비교 연구,"김성섭(SungSub Kim),임재환(JaeHwan Lim),전영돈(YoungDon Jeon),강병도(ByungDo Kang)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2013No.5[2013]
",2013,Korean,"Heavy Vehicle(상용자동차),Handling Performance(조종안정성),FMVSS(주요용어),UNECE(유럽경제위원회),ESC(자동차안정성제어장치),Directional Control(방향성 제어),Rollover Control(롤전복 제어)",,,"학술저널
",,2188-2194,,,, DBpia,,"자동차의 사고예방을 위한 능동안전장치 보급에 발맞추어, 사고회피를 위한 자동차안정성제어장치가 승용자동차를 대상으로 의무적 장착이 세계적으로 확대되고 있다. 자동차의 제동장치 및 동력전달장치가 다양하여 개발 보급이 다소 늦은 상용자동차에 대해서도 제조사의 개발 및 평가가 활발하게 진행되고 있으며, 세계적으로 평가방법 및 기준에 대한 도입의 움직임이 나타나고 있으나, 국내 시험환경 및 성능평가 방법에 대한 연구는 부족한 실정이다. 전세계적으로 상용자동차의 조종안정성에 대한 다양한 평가방법이 알려져 있으나, 상용자동차의 특징과 방향성 제어능력과 롤전복 제어능력 평가를 위한 거동을 잘 나타내는 조향입력에 대한 비교연구는 부족한 실정이다. 이 논문에서는 국내외 상용자동차 자동차안정성제어장치 평가와 관련한 시험방법에 대한 조사와 함께, 해외 상용자동차용 ESC의 건조노면 작동조건 확인 시험 및 방향성 제어능력과 롤전복 제어능력 평가에 효과적인 시험방법을 선정하기 위한 사전연구로서, 자동차안정성제어장치의 성능평가를 위한 주요 시험방법에 대한 비교와 함께 예비시험을 통하여 상용자동차 대표적 특성인 롤전복 제어 거동 경향을 확인하였다.",,"Abstract
1. 서론
2. 자동차안정성제어장치 정의
3. 상용자동차안정성제어장치 기준 고찰
4. 시험실시 및 결과분석
5. 결론
References
"
전기 자동차의 에너지 시뮬레이션을 통한 Driving Range 향상을 위한 민감도 분석에 관한 연구,"조재훈(Jaehoon Cho),최진호(Jinho Choi)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2010No.11[2010]
",2010,Korean,"Battery Electric Vehicle (BEV),Unified Model (UM),Sensitivity Analysis (민감도 분석),Accessory Power Module (APM),Power Inverter Module (PIM),Energy Storage Box (ESB)",,,"학술저널
",,3029-3034,,,, DBpia,,"전기자동차란 자동차의 구동 에너지를 기존의 자동차와 같이 화석 연료의 연소로부터가 아닌 전기에너지로부터 동력을 얻는 자동차이다. 배터리에 축적된 전기로 모터를 회전시켜서 자동차를 구동시키는 전기자동차는 1873년 가솔린 자동차보다 먼저 제작되었으나, 배터리의 무거운 중량, 충전에 걸리는 시간 등의 문제 때문에 실용화되지 못하다가 환경문제가 최근 심각해지면서 1990년대부터 다시 관심을 가지며 개발되기 시작하였다. 현대의 전기자동차 기술은 배터리기술의 발전과 함께 발전하고 있으며, 가장 큰 이슈 중의 하나는 배터리를 한번 충전하여 얼마나 멀리 갈수 있느냐 하는 것이다. 본 논문은 이와 같은 배터리 전기자동차의 Driving Range 향상을 위하여 에너지 효율 분석 및 민감도 분석을 다룬다. 이를 위하여 본 논문에서는 우선 에너지 효율 분석을 위한 시뮬레이션 모델을 (BEV Unified Model) 구성하였고, 구성된 Simulation 모델을 바탕으로 Driving Range 향상을 위한 해석 및 민감도 분석을 경소형 배터리 전기자동차에 적용하였다.","An Electric vehicle (EV) uses the accumulated electric power in the battery to drive, which is the main difference from the conventional vehicle using the fossil fuel. The first electric vehicle was developed in 1873 before the gasoline car. But the vehicle was not commercialized due to the heavy weight and performance of the battery including long time to charge. Since the 1990s, EVs have extensively being re-developed with the increased concern over the environmental issues with petroleum. The modern electric vehicles have being developed with the enhancement of battery technology. One of the key issues for these EVs is how to increase the driving range and how to reduce the time to re-charge. This paper focus on a study on sensitivity analysis for improving the driving range based on energy simulation of a battery electrical vehicle (BEV). For the study, we made up the BEV energy simulation model using Unified Model (GM internal energy simulation codes) and implemented the driving range and performance simulation using the model. The sensitivity analysis is performed to find the dominant and efficient enablers for improving the driving range of a battery electrical vehicle.","Abstract
1. 서론
2. 전기자동차 모델링
3. 시뮬레이션 결과 및 분석
4. 결론
References
"
[초청강연Ⅱ] 차세대 자동차를 위한 차체 경량화 기술 = Technology of Light Weight Vehicle for Next Generation Automobile,박영환(Young Whan Park),한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.2018No.11[2018]
",2018,Korean,"Light Weight Vehicle(경량 자동차),Multi-Material Car body(다종소재 차체),Mechani cal Joining(기계적 접합),Hybrid Joining(복합 접합)",,,"학술저널
",http://www.ksae.org,54-83,,,, DBpia,,"전세계적 환경오염에 대한 관심이 많아 지고 있으며, 이에 대하여 각국은 차량의 배기가스를 최소화 하기위한 다양한 규제들이 강화되고 있다. 이에 따라 하이브리드 자동차, 전기 자동차, 연료전지 자동차에 대한 공급이 진행되고 있으며, 이것은 새로운 자동차의 수요를 창출하고 있다. 이러한 자동차에 있어서 차체 경량화는 자동차의 고효율화를 위해 반드시 필요하다. 경량화 10%를 달성할 때 연비의 3.8% 향상 제동 거리의 단축, 배기가스 감축의 효과가 있으며 경량화를위한 전략으로는 알루미늄과 마그네슘과 같은 경량 금속의 채택, CFRP 와 같은 소재의 적용이 대표적인 예이다. 이러한 다종의 소재를 적용하는 방식을 Multi-Material 으로 표현되며, 많은 자동차회사에서 이를 적용하여 차체를 제작하거나 준비중에 있다.
  이러한 차체의 제작에 있어서 반드시 필요한 것 중에 하나는 자체의 접합 기술이다. 기존의 단일 소재를 용접하는 방법에서 이종소재의 접합과 용접이 채택될 수 밖에 없으며, 소재적 특성으로 인하여 용접이 불가능한 현상도 발생한다. 이를 극복할 수 있는 방법 중에 하나가 기계적 체결(mechanical joining) 방식의 예를 들 수 있다. 그러므로 본 연구에서는 기계적 접합 공정 중 Clinching, Self Piercing Riveting, Flow Drilling Screw (FDS), Friction Stir Spot Welding 공정을 소개하고, 각 프로세스의 원리, 장점 및 단점에 대하여 분석하고자 한다. 그리고 내구성 강화를 위하여 접착제를 활용한 용접본드와 기계적 접합을 동시에 적용한 하이브리드 접합법에 대한 내용 및 결과를 분석하고자 한다. 이를 통해 향후 국내 자동차 산업의 차세대 자동차에 맞는 차체 생산 기술 및 접합 기술에 대한 동향을 공유하고자 한다.",,
복합진동시험기를 이용한 자동차부품의 성능평가 기술 = Performance Evaluation Technology for Automotive parts using the Environment Vibration Tester,"박태근(Taekeun Park),조원용(WonYong Cho),조철용(Chulyong Cho),심기중(Kijoung Sim),최규재(Gyoojae Choi),유경현(Kyunghyun Ryu)",한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.2008No.11[2008]
",2008,Korean,"Durability(내구성),Automotive Parts(자동차부품),Vibration(진동),Environmental Vibration Tester(복합진동시험기),Performance Evaluation Technology(성능평가기술)",556.0,,"학술저널
",http://www.ksae.org,19-23,,,, DBpia,,"자동차부품의 내구성능은 중요한 성능 중의 하나로 세계 최고수준의 자동차를 만들기 위해서는 반드시 확보해야 할 기술이다.
국산 자동차에 대한 초기품질은 세계 최고 수준에 이르고 있지만, 내구성능은 최하위권에 머무르고 있는 실정이어서 이에 대한 대책 마련이 시급하다. 또한 섀시부품 및 모듈의 내구성능 향상은 자동차 전체의 내구성능 향상을 위해 필수적인 요소라 할 수 있다.
국내 자동차의 내구성능을 향상시키기 위해서는 내구성능에 대한 객관적인 평가기준과 이를 수행할 수 있는 시험기 및 인적자원이 절실히 필요하다.
본 고에서는 자동차 부품 및 모듈의 내구성능향상을 위한 평가 과정과 함께 부품 내구성능 평가장비 및 다년간의 경험 있는 전문인력을 보유하고 관련 부품의 내구성능을 평가하고 있는 군산대학교 자동차부품기술혁신센터(KATIC)의 시험평가장비 및 사례를 기술하였다. 다양한 제품의 성능을 평가하기 위해 시험기 및 시험부자재를 활용하여 시험시스템 구축에 도움이 되도록 할 예정이며, 유사제품 평가에 있어 자동차 부품 내구성능평가 방법과 관련 장비들은 향후 자동차부품 및 일반기계부품 개발업체에서 잘 활용할 수 있을 것이다.","Durability of automotive parts is one of the most important factors for the vehicle performance. Vibration in the vehicle cause automotive parts failure such as short circuit, crack, loosened bolt tightening. So the evaluation of vibration property is increased in recent year. But there isn’t still the objective and standardized technology development in domestic, and moreover the requirements of the car makers and customers are more diversity. Enhancement of durability have become the necessary conditions for an automotive parts, and the durability performances under vibration have treated as the top priority. In this paper, we describe the evaluation technology for durability of automotive parts by using the environment vibration tester, which is installed and operated by Kunsan Automotive Technical innovation center.","Abstract
1. 서론
2. 복합진동 시험기 적용사례
3. 요약
References"
자동차부품 6축 진동 내구시험 평가기술 = 6 Axis Vibration Durability Test Technology for Automotive Components,"이지선(Jisun Lee),김환(Hwan Kim),강인묵(inmook kang),조쳘용(Chulyong Cho),최규재(Gyoojae Choi)",한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,"6 Axis Vibration durability test(6축 진동 내구시험),automotive components(자동차 부품),test equipment(시험장비),MAST(Multi-Axis Simulation Table)",,,"학술저널
",http://www.ksae.org,15-21,,,, DBpia,,"자동차부품의 내구성능은 중요한 성능 중의 하나로 세계 최고수준의 자동차를 만들기 위해서는 반드시 확보해야 할 기술이다.
  국산 자동차에 대한 초기품질은 세계 최고 수준에 이르고 있지만, 내구성능은 최하위권에 머무르고 있는 실정이어서 이에 대한 대책 마련이 시급하다. 또한 세시부품 및 모듈의 내구성능 향상은 자동차 전체의 내구성능 향상을 위해 필수적인 요소라 할 수 있다.
  본 고에서는 자동차 부품 및 모듈의 내구성능 향상을 위한 평가 과정과 함께 부품 내구성능 평가장비를 보유하고 관련 부품의 내구성능을 평가하고 있는 군산대학교 자동차부품기술혁신센터(KATIC)의 시험평가장비 및 사례를 기술하였다. 자동차 부품 내구성능평가 방법과 관련 장비들은 향후 자동차부품 및 일반기계부품 개발업체에서 잘 활용할 수 있을 것이다.","In this article, 6 Axis Vibration durability test technology for automotive components is presented. Test equipments and procedures which used in Kunsan National University Automotive Technology Innovation Center(KATIC) are introduced. High fidelity and high performance testing systems, for examples, chassis corner module road simulator, multi-axis simulation table, linear and rotary actuator, etc., are equiped in the center. Especially MAST for 6 Axis vibration durability test is introduced. MAST test procedure and examples is presented.","Abstract
1. 서론
2. 자동차부품 6축 진동내구시험평가
3. 6축가진내구시험기 시험사례
4. 요약
References
"
자동차 산업은 '90년대 한국경제를 주도할 수 있을까,남충우,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1989]
",1989,Korean,,556.0,,"학술저널
",http://www.ksae.org,5-22,,,, DBpia,,,,"1.자동차업계의 최근동향
2.자동차산업의 중요성과 성장전망
3.우리나라 자동차산업의 현주소
4.'90년대 자동차산업의 도전과 대응방안
5.자동차기업인!근로자여러분!우리 손잡고 한국자동차 산업을 아끼고 키워나갑시다!
자동차기업인 여러분!
근로자여러분!
자동차공업인. 자동차근로자 여러분!"
하이브리드 자동차의 충돌안전성 기준에 관한 고찰 = Consideration on the Crash Safety Regulations of the Hybrid Electric Vehicle,"임재문(Jae Moon Lim),석주식(Jusik Suk),김규현(Gyuhyun Kim)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,"Hybrid Electric Vehicle(하이브리드 자동차),Fuel Cell Electric Vehicle(연료전지 자동차),Electrolyte Spillage(전해액 누출),Battery Retention(배터리 고정성),Electric Isolation(전기적 절연)",,,"학술저널
",http://www.ksae.org,1507-1511,,,, DBpia,,,"Sales of Hybrid Electric Vehicles (HEV) have increased in recent years, especially in the USA. The HEV is expected to play an important role for realizing the Electric Vehicle (EV) in the long run. USA, Europe and Japan are prepared the motor vehicle safety standards about the HEV using the safety standard for the EV or Fuel Cell Electric Vehicle (FCEV). The vehicle safety regulations of USA, Europe and Japan are reviewed for the occupant protection under the various crash environment. This study will be reflected for the establishment on the Korean motor vehicle safety standard for the HEV.","Abstract
1. 서론
2. 하이브리드 자동차 현황과 전망
3. 각국의 하이브리드 자동차 충돌안전성에 관한 안전기준 현황
4. 하이브리드 자동차 충돌안전성
5. 하이브리드 자동차 배터리 장착 추세에 따른 충돌안전성 고찰
6. 결론 및 향후 연구과제
후기
References
"
