제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
전기 이륜자동차 관리제도 개선방안 연구,"정윤재(YunJae Jeong),강병도(ByungDoe Kang),류기현(KiHyeon Ryu),소상권(SangKwon So)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2011No.5[2011]
",2011,Korean,"Definition(정의),Classification(분류),Displacemet(배기량),Management system(관리제도),Electric Motorcycle(전기 이륜자동차),Motor(전동기),Korea Motor Vehicle safety standards(자동차 안전기준에 관한 규칙)",,,"학술저널
",,2490-2495,,,, DBpia,,,"Recently, all countries devote all their might to develop the technique of electric motorcycles and spread them with becoming interest in the friendly-environment vehicle in the world. So that, in this paper, describes Korean electric motorcycle definition and classification problem, and analyzes by using the BMIS(Bike Motocycle Information System) for advancement management system, definition and classification of electric motorcycle.","Abstract
1. 서론
2. 전기 이륜자동차 정의 및 분류
3. 전기 이륜자동차 등록현황
4. 전기 이륜자동차 정의 및 분류의 문제점
5. 개선방안
6. 결론
References
"
자동차 범퍼용 비염소화 도료의 내구성 향상 연구,"정선경(Sun Kyoung Jeoung),이평찬(Pyoung-Chan Lee),유승을(Seung Eul Yoo),김보람(Bo-Ram Kim),임명혁(Myung Hyuk Im),강원구(Won-Gu Kang)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2011No.5[2011]
",2011,Korean,"Bumper(범퍼),Paint(도료),Chlorine-Free(비염소),Durability(내구성),Automotive(자동차)",,,"학술저널
",,2039-2042,,,, DBpia,,"최근 자동차 R&D 동향은 친환경, 고기능성, 그리고 경량화이다. 자동차 외장재용 polupropylene은 물질 성능과 가격 등의 이점으로 사용량이 증가하고 있으나 도장이 어렵다는 문제점을 가지고 있다. PP를 도장하기 위해 염소화 수지와 수지의 용해를 위한 용매를 사용하고 있으나 이는 환경규제 의 대상이 되고 있다. 따라서, 본 연구에서는 비염소화 수지를 개발하였다. 비염소화 도료 시스템의 내구성을 평가하기 위하여 기계적인물성과 내환경성을 측정하였다. 비염소화 도료 시스템은 염소화 도료와 동등 수준의 결과를 보이고 있어 자동차 범퍼용 도료에 적용 가능함을 확인하였다.",,"Abstract
1. 서론
2. 실험방법
3. 결론 및 토론
4. 결론
References
"
자동차용 휘발유에 관한 검토,서정현,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1984]
",1984,Korean,,556.0,,"학술저널
",http://www.ksae.org,21-27,,,, DBpia,,"70년대 초반에 밀어 닥친 Oil shock 의 여파로 각 자동차 Maker 는 에너지 절약형 자동차의 개발을 서두르기 시작하여 엔진 및 차량의 각종 효율향상, 소형경량화, 공기역학 개념의 도입 등 엔진을 비롯한 차량 전반에 걸쳐 많은 기술의 진전을 보아온 것이 사실입니다. 또한 차량의 보급 추세에 따라 배출가스에 의한 환경오염문제도 동시에 대두케된 것도 주지하는 바와 같습니다.
그런데, 에너지 절약대책과 공해대책은 실제 적용에 있어 많은 어려움이 놓여있어 자동차 Maker 의 집중적인 노력에 발맞추어 연료업계에서도 연료소비율, 출력, 배출가스 등 성능을 향상시킬수 있도록 연료의 질적향상에 노력을 아끼지 않아 오늘의 수준까지 도달하게 되었읍니다.
그러나 이러한 연료의 상당한 질적향상에도 불구하고 날로 더해 가는 고출력, 저연비, 저공해 차량의 요구에는 아직도 다소 미흡한 점이 있다고 생각되는 바입니다.
여기에 그렇케 생각되는 근거, 즉 연료의 성상에 의한 제반영향과 현재의 국내KS 규격과 실제 시증연료의 Sampling 분석결과, 외국 연료의 규격등에 대해 비교 조사하여 자동차의 연료에 대한 요구조건과 현재의 국내 연료(규격 및 생산품질) 간의 불균형을 제시하여 여러분의 의견을 듣고 에너지 절약과 공해방지에 기여 할수 있도록 자동차 또는 연료측의 대책 수립에 참조코자 합니다.",,"제안설명
1.연료의 성상에 의한 영향
2.현황과 문제점"
자동차 리사이클링,양성모,한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.-No.-[2000]
",2000,Korean,,,,"학술저널
",http://www.ksae.org,37-53,,,, DBpia,,,,"2. 자동차 리사이클링 특징<br/><br/>
3. 폐차의 발생량<br/><br/>
4. 자동차 리사이클링 공정<br/><br/>
5. 리사이클링을 위한 기반기술<br/><br/>
6. 국외자동차 리사이클링 동향<br/><br/>
7. 국내 자동차 리사이클링 동향<br/><br/>
8. 해체를 고려한 자동차의 설계 개선<br/><br/>
9. 리사이클링 설문조사<br/>
"
기후변화협약 대응 자동차 기술개발 정책 방향,산업자원부,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2005No.-[2005]
",2005,Korean,,,,"학술저널
",http://www.ksae.org,135-159,,,, DBpia,,,,"우리나라 자동차 산업 및 기술전망
지구온난화 협약대응 자동차산업 정책방향
지구환경변화대응 자동차 기술개발 추진현황
환경 친화적 자동차 기술개발사업 추진계획
마무리
"
자동차문화와 자동차 박물관 = Motor Culture & Museum,남기호(NAM GI HO),한국자동차공학회,한국자동차공학회 Workshop,"Vol.2001No.-[2001]
",2001,Korean,,,,"학술저널
",http://www.ksae.org,111-113,,,, DBpia,,,,"교통박물관의 역할<br/>
자동차 산업의 발달<br/>
자동차문화의 개념<br/>
자동차문화와 자동차박물관의 관계<br/>
자동차의 보존과 복원"
자동차 디자인 변화와 자동차산업의 지역 이동 비교 연구,구상(Sang Koo),한국자동차공학회,한국 자동차공학회논문집(Transactions of Korea Society of Automotive Engineers),"Vol.26No.4[2018]
",2018,Korean,"Design changing factors(디자인 변화 요인),Vehicle technology(차량 기술),Production technology(생산기술),Commercial factors(상업적 요인),Future directions(미래 방향)",,KCI등재,"학술저널
",http://www.ksae.org,504-512,1.0,,, DBpia,영남대학교 과학도서관,,"Automobile designs have been changed by multifarious factors according to the times and regions, and the changes have become the reasons for today""s diverse automobile designs. However, further estimation for future automotive design changes could be acquired by analyzing the insights from the previous ones. This study aims to determine the implications for future design change of automobiles by observing the vehicle designs with technological and regional factors in order to clarify the design changing factors from a macroscopic view. The paper also reviewed the design changes of the typical types of automobiles so as to deduct the common factors, and the major automobiles were evaluated in a chronological order. It can be concluded that automotive design changing factors can be classified into European factors and American factors as vehicle technology and production technology. They can also be classified as commercial factors with Japanese cases. The automotive design changing factors for automobiles have been changed, thereby resulting in a geographical shift.","Abstract
1. 서론
2. 자동차산업과 자동차 디자인
3. 자동차 디자인 변화의 고찰
4. 자동차 디자인 변화와 산업의 지역 이동
5. 결론
References
"
중국 자동차 산업 현황과 전망,이수원,한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.2005No.11_S[2005]
",2005,Korean,,,,"학술저널
",http://www.ksae.org,44-55,,,, DBpia,,,,"1. 세계 자동차 산업동향<br/>
2. 중국 자동차 산업동향<br/>
3. 중국 자동차 산업 전략<br/>
4. 중국 자동차 산업 전망"
세계 자동차 부품 산업 현황,최영준,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2000No.-[2000]
",2000,Korean,,,,"학술저널
",http://www.ksae.org,71-80,,,, DBpia,,"세계 부품 산업의 동향은 새로운 IDEA 와 신기술이 매우 활발히 진행되고 있다.<br/>
한국 부품 산업은 설계 분야가 특히 매우 취약하며 새로운 IDEA와 신기술은 설계 기술의 수준에 의하여 좌우 된다.<br/>
설계 기술의 핵심은 ANALYSIS, SIMULATION, I- CAD, eletronic CONTROL ALGORITHME, 새로운 IDEA와 같은 비용과 투자 보다는 지적요소 부문이 더욱 비중이 커지고 있다.<br/>
산 학 연은 연구 개발 업무가 중복 되지 않고 서로 보완 관계를 갖도록 전략과 기획 분무를 통합할 수 있는 시스템을 구성 하기 위하여 자동차 공학회 또는 별도의 협의체로 TASK FORCE TEAM을 상시 운영 하여 모든 연구 자원을 효과적으로 집중 하여야 한다.<br/>
I-CAD 를 이용한 설계 자동화는 어느 나라에서든 아직 초기 단계이며 현재까지 개발된 설계 방법으로서는 가장 효과적인 방법이다.<br/>
(EBS에서 방영한 세계의 자동차 기술 참조)<br/>
각 부품 별로 INTELICENT CAD를 이용 하여 자동 설계 시스템을 개발 하면 각 부품 별 연구 개발 및 설계와 공정 기술 까지 포함한 TASK FORCE TEAM이 자연스럽게 생성 되며 산 학 연 이 각 부품 별 DB를 공유하여 보완 할 수 있으며, 대학의 지적 능력과 산업체의 경험과 KNOW-HOW 및 설비를 효과적으로 활용할 수 있다.<br/>
부수적으로 각 학교가 특정 부품 분야에 특화 되면 특정 부품 사업체의 협조를 이끌어 내기가 쉬우며 외국의 관련 부품 전문 엔지니어링 컨설팅 업체 와의 교류나 공동 개발을 통하여 GLOVAL OUTSOURCING에 대응할 수 있는 수준의 부품 개발이 더욱 가시화 될 수 있다.<br/>
또한 학생들도 특화 된 분야의 공부를 더욱 깊이 있게 하여 관련 분야에 필요한 전문가가 더욱 빨리 될 수 있고 현재와 같이 어디에나 갈수 있으면서 어디에서도 제대로 일할 수 없는 비 효율적인 교육을 지양할 수 있다.<br/>
PACKAGING의 한계내에서 GAS FLOW DYNAMC 현상으로 발생하는 ROLLSROICE, PLAT & WHITNIE, BOING 같은 항공기산업의 경우 설계 비용의 비중이 제조 원가의 태반을 차지할 만큼 커서 설계 비용과 기간의 단축 및 설계 잘못으로 인한 위험을 최소화 하기 위하여 이미 I-CAD BASE의 SMART DESIGN이 보편화 되어 있으며 GM, FORD, JAGUER, BMW 같은 자동차 회사에서도 적극적으로 도입 하고 있다.",,"서언<br/>
자동차 부품 산업 동향<br/>
머플러<br/>
I-CAD 환경에서의 머플러 설계<br/>
직 분식 연료 펌프<br/>
ECU/TCU<br/>
대체기술 부품<br/>
혁신 기술<br/>
미래기술<br/>
요약"
유럽의 자동차부품 재제조산업에 관한 연구,"목학수(Haksoo Mok),전창수(Changsu Jeon),한창효(Changhyo Han),박상진(SangJin Park),사공훈(Hoon Sagong),Gunther Seliger",한국자동차공학회,한국 자동차공학회논문집(Transactions of Korea Society of Automotive Engineers),"Vol.19No.1[2011]
",2011,Korean,"Remanufacturing(재제조),Automobile part(자동차부품),BER(일괄적용제외법규),Core(중고품),APRA(유럽 자동차부품 재제조협회)",,KCI등재,"학술저널
",http://www.ksae.org,38-44,13.0,,," NDSL, &nbsp;&nbsp; DBpia",영남대학교 과학도서관,,"Remanufacturing is restoring or manufacturing the worn-out or discarded components of an end of life product in order to bring it to the “like new” condition. The aim is to reprocess used products in such a manner that the quality of the products is as good as or better than the new one, in terms of appearance, reliability and performance. This paper investigates the automotive remanufacturing industry in Europe. To further knowledge in this field, the paper focuses on the remanufacturing of the automotive components of end-of-life vehicles. The paper scope emphasizes key remanufacturing companies, which are identified and were surveyed in terms of their business structures. The research aims to address the potential for growth within the remanufacturing industry, with regard to various players. The state of the art in remanufacturing of automotive equipment will be identified.","Abstract
1. 서론
2. 유럽 자동차부품 재제조 산업의 현황
3. 유럽의 자동차 재제조협회(Automobile Product Rebuilder Association, APRA)를 통한 유럽의 자동차부품 재제조산업의 현황
4. 결론
후기
References
"
자율주행 자동차 임시운행 허가를 위한 안전 성능 평가 시나리오,"채흥석(Heungseok Chae),정용환(Yonghwan Jeong),이경수(Kyongsu Yi),최인성(Inseong Choi),민경찬(Kyongchan Min)",한국자동차공학회,한국 자동차공학회논문집(Transactions of Korea Society of Automotive Engineers),"Vol.24No.5[2016]
",2016,Korean,"Autonomous vehicle(자율주행 자동차),Evaluation scenarios(평가 시나리오),Extraordinary service permission(임시운행 허가),Safety evaluation factors(안전성 평가항목)",,KCI등재,"학술저널
",http://www.ksae.org,495-503,10.0,,," NDSL, &nbsp;&nbsp; DBpia",영남대학교 과학도서관,,"Regulation for the testing and operation of autonomous vehicles on public roadways has been recently developed all over the world. For example, the licensing standards and the evaluation technology for autonomous vehicles have been proposed in California, Nevada and EU. But specific safety evaluation scenarios for autonomous vehicles have not been proposed yet. This paper presents safety evaluation scenarios for extraordinary service permission of autonomous vehicles on highways. A total of five scenarios are selected in consideration of safety priority and real traffic situation. These scenarios are developed based on existing ADAS evaluation and simulation of autonomous vehicle algorithm. Also, Safety evaluation factors are developed based on ISO requirements, other papers and the current traffic regulations. These scenarios are investigated via computer simulation.","Abstract
1. 서론
2. 자율주행 자동차 임시운행 및 평가 기술 현황 및 개별 요소 기술 규정
3. 자율주행 자동차 운행 기준 및 안전 성능 평가 시나리오
4. 자율주행 자동차 안전성 평가항목
5. 시뮬레이션 결과
6. 결론
References
"
친환경 자동차의 회생제동 협조제어 시스템,"이은하(Eunha Lee),박인혜(Inhye Park),김기영(Giyung Kim)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2013No.11[2013]
",2013,Korean,"Regenerative brake(회생 제동 시스템),Hydraulic brake(유압 제어),Active Hydraulic Boost(능동형 전자제어 브레이크),HEV(하이브리드 자동차),EV(전기 자동차),Eco-friendly vehicle(친환경 자동차)",,,"학술저널
",,458-459,,,, DBpia,,,,
실 도로 주행사이클의 Aggressiveness에 따른 미래형 친환경 자동차의 시스템 효율 평가,"이대흥(Daeheung Lee),서호원(Howon Seo),박영일(Yeongil Park),임원식(Wonsik Lim),차석원(Sukwon Cha)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2010No.11[2010]
",2010,Korean,"Driving Aggressiveness(주행 공격성),Next Generation Vehicle(차세대 자동차),PHEV(플러그인 하이브리드 자동차),HEV(하이브리드 전기 자동차),Fuel Economy Analysis(연비 평가)",,,"학술저널
",,3178-3183,,,, DBpia,,,"This paper proposes a definition of the driving aggressiveness which can describe the aggressive driving pattern of real-world driving schedule. Then vehicle simulations assess the sensitivity of fuel consumption to a wide range of driving pattern. Considered vehicles are a HEV and PHEV (10AER~40AER) as well as a conventional vehicle that is assumed to be available in the future, and the used fuel for each vehicle’s powertrain structure are gasoline, diesel, H₂ and ethanol. Through this research, the fuel consumption results are variable to the aggressiveness factor defined over real-world driving cycles and could be predicted with a specific driving schedule.","Abstract
1. 서론
2. 실 도로 주행사이클의 분석
3. Driving Aggressiveness
4. 미래 친환경 자동차의 연비 시뮬레이션 결과
5. 결론
후기
References
"
플라이휠 배터리의 전기 자동차에의 응용 = Flywheel Battery Technology for Electric Vehicles,윤희도(H.D.Yun),한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.1997No.6_1[1997]
",1997,Korean,,,,"학술저널
",http://www.ksae.org,638-643,,,, DBpia,,,"Air pollution is a major problem in our cities today. The main cause of air pollution is the vehicles that are powered by internal combustion engines. Domestic efforts to reduce vehicle emission is focused on filtering emissions from large diesel powered trucks and buses. U.S. agencies mandate production and sale of low emission vehicles and zero emission vehicles. This paper proposes flywheel battery technology as an energy storage device for zero emission electric vehicles and hybrid electric vehicles. The battery technology is introduced. Its main components, including the rotor, bearings, motor/generator, power electronics system, vacuum system and the rotor containment for use in case of an accidental rotor or bearing failure, are introduced. Brief description of different flywheel battery design methodologies is described.<br/>
","ABSTRACT<br/>
1.서론<br/>
2.무공해 자동차 개발의 필요성<br/>
3.전기 자동차(EV)<br/>
4.플라이 휠 배터리 (FWB) <br/>
5.혼용 전기 자동차 (HEV)<br/>
6.플라이휠 배터리의 구성요소<br/>
7.결론<br/>
참고자료"
전동화된 자동차의 출력측정방법 개발,"최동석(Dongseok Choi),류기현(Kihyeon Ryu),이재완(Jaewan Lee),박용성(Yongsung Park)",한국자동차공학회,한국 자동차공학회논문집(Transactions of Korea Society of Automotive Engineers),"Vol.22No.7[2014]
",2014,Korean,"Electrified vehicle(전동화된 자동차),Energy converter(에너지변환장치),Powertrain(파워트레인),Vehicle power(자동차출력),Electric fraction(전동화율),COV(변동계수)",,KCI등재,"학술저널
",http://www.ksae.org,135-143,1.0,,," NDSL, &nbsp;&nbsp; DBpia",,,"Electrified vehicles can be classified with hybrid electric vehicles, battery electric vehicles and fuel cell electric vehicles. These vehicles have two more than energy converters which are the part of a powertrain. It is particularly difficult to estimate the power of hybrid electric vehicles due to two different energy converters with different power characteristics. Therefore, a new power concept for these vehicles is needed. The vehicle power as the new concept for solving this problem was defined in this study. The test method and the procedure were made a development in this study. Four electrified vehicles with different electric fraction were used to validate the method. Two percentage of COV was suggested as a criterion for the maximum vehicles power based on the previous studies. The repeatability of this method was within ±2 per cent for the maximum vehicle power and within ±5 per cent for the vehicle speed at maximum vehicle power.","Abstract
1. 서론
2. 시험장치 및 검증시험용 자동차
3. 자동차출력의 정의
4. 출력측정방법 개발
5. 검증시험 결과 및 고찰
6. 결론
References
"
경전기자동차(LEV)에서 태양광전지의 응용에 관한 사례연구,심한섭(Hansub Sim),한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2011No.11[2011]
",2011,Korean,"Solar-Photovoltatic Cell(태양광전지 또는 태양전지),Light Electric Vehicle(LEV, 경전기자동차),Electric Vehicle(EV,전기자동차),Solar-Electric Hybrid car(태양-전기 하이브리드 자동차)",,,"학술저널
",,3001-3002,,,, DBpia,,,"A study for various security methods of the electric power is required because the charge capacity of the battery is insufficient and the electric loads are increased in the LEV(Light Electric Vehicle). The solar-photovoltatic cell was used in many fields as an electric generation system. In the case of the solar-photovoltatic cell being applied to charge auxiliary, the range/charge be increasing and the battery can be charged by the solar-photovoltatic charge system. From a case study of electric vehicles, several LEVs are used the solar-photovoltatic charge system on its roof.","Abstract
1. 서론
2. 경전기차량(LEV)과 전기부하량
3. 경전기차량에서 태양전지의 응용사례
4. 결론
References
"
저온 특성을 반영한 등가 회로 기반 48V 마일드 하이브리드 자동차 동적 배터리 모델 개발,"전지환(Jeehwan Jeon),노정우(Jungwoo Noh),김원태(Wontae Kim),김태훈(Taehoon Kim),김진(Jin Kim),이영일(Youngil Lee),박성진(Sungjin Park)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2019No.5[2019]
",2019,Korean,"Electrification(전동화),Equivalent Circuit Model (등가 회로 모델),Mild HEV (마일드 하이브리드 자동차),Lithium Battery(리튬 배터리)",,,"학술저널
",,1223-1226,,,, DBpia,,"48V 마일드 하이브리드 자동차의 연비 및 동력 성능 개선을 위해 기존 기계부품의 전동화와 12V 전장 부품의 승압화에 대한 연구가 진행되고 있다. 하지만, 48V 전장 부품의 종류에 따라 순간 대 전력 사용 시 배터리의 전압 안정성 문제가 발생하게 된다. 따라서 전장 부품의 선정 시 배터리 전압 안정성에 대한 정확한 예측이 필요하다. 본 연구에서는 48V 마일드 하이브리드 자동차 전당 부품의 전력 사용에 따른 배터리 전압 거동을 예측하기 위해 48V 마일드 하이브리드 자동차용 배터리 팩 실험을 진행하였으며, 이를 기반으로 Equivalent Circuit Model(ECM)을 개발하였다. ECM은 First order RC Model 기반으로 개발되었으며, 온도 별 차량 전력 모사 실험을 통해 상온과 저온의 배터리 저항을 반영한 파라미터를 적용하였다. 특히 저온의 경우, 일정 온도 이하에서 배터리의 저항이 급격하게 증가하는 경향을 보이기 때문에 이를 반영한 모델을 구성하였다. 개발된 ECM은 연비 모드에서의 배터리 전압 검증을 위해 48V 마일드 하이브리드 중형 SUV 실차 실험에서 배터리의 충, 방전 전류에 따른 전압거동과 비교하였다.",,"1. 서론
2. 48V 마일드 하이브리드 자동차 동적 배터리 모델 개발
3. 배터리 모델 개발
4. 결론
5. 향 후 계획
References
"
자동차 정기검사 및 정기점검 통합에 관한 연구,"정영달(Youngdal Jung),김재진(Jaejin Kim),여운석(Unseok Yeo),강병도(Byungdo Kang),권해붕(Haeboung Kwon)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2013No.5[2013]
",2013,Korean,"Periodic Vehicle Inspection(정기검사),Periodic Vehicle Check (정기점검),Inspection frequency(검사주기),CITA(국제자동차검사위원회),Non-commercial passenger vehicles(비사업용자동차),Commercialpassenger vehicles(사업용자동차)",,,"학술저널
",,2057-2062,,,, DBpia,,,"Korea has operated separately in each periodic vehicle inspection and periodic vehicle check system for efficient management of in-use vehicle. Periodic inspection is a system that for all vehicles, evaluate the suitability of the road driving without the disassembly and maintenance of the vehicle, and periodic check is a system that for the commercial vehicles, through the disassembly and maintenance of the vehicle, implement to ensure the safety and performance of vehicle. However, periodic check has been pointed out steadily because it had slipped into the institutional formal system to weight the economic burden of the public. Therefore, in this study, we would present the suggestion to integrate periodic inspection and periodic check through the analyses on domestic and foreign status of periodic check and the deducting problem. In particular, whereas periodic vehicle inspection has been implementing in all 34 countries member countries on Organization for Economic Cooperation and Development(OECD), periodic check has been implementing in japan, only one in the world. So, we compared and analyzed the items of periodic inspection and periodic check, and we presented the suggestion on the integration of two systems. In addition, another purpose in this study is to enhance the vehicle safety and to reduce burden on the public by presenting the compensation plan of the integration of two systems.","Abstract
1. 서론
2. 연구내용 및 방법
3. 연구결과 및 고찰
4. 결론
References
"
"하이브리드 자동차 변속기, 운전전략, 회생제동 및 시뮬레이션 기술",김현수,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2006No.-[2006]
",2006,Korean,,,,"학술저널
",http://www.ksae.org,7-70,,,, DBpia,,,,"동력이란?
하이브리드 자동차 변속기
하이브리드 자동차운전전략 
하이브리드 자동차 회생제동 시스템
하이브리드 자동차 시뮬레이션 기술
"
美國의 自動車 排出物의 規制動向,유증봉,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1979]
",1979,Korean,,556.0,,"학술저널
",http://www.ksae.org,95-119,,,, DBpia,,,,"1.自動車 排出物의 規制
2.自動車의 排出物과 大氣汚染
3.自動車排出物 規制 效果
4.自動車 排氣가스 試驗法
參考文獻"
경유자동차 배출물 규제에 관한 조사연구,편집부,한국자동차공학회,한국자동차공학회 기타 간행물,"Vol.-No.-[1989]
",1989,Korean,,556.0,,"학술저널
",http://www.ksae.org,3-98,,,, DBpia,,,,"1.서론
2.경유자동차에 의한 대기오염도
3.국내외 자동차 배출물 규제 제정절차 및 규제동향
4.배출물 규제에 관한 검토
5.소형 경유 자동차가 생산 중지될 때 업계에 미치는 영향
6.결론
참고문헌"
