제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
국내 자동차 개발 프로세스 개선을 위한 동시공학 전략 = A CE Strategy for Improving a Development Process of Korean Automotive Industries,"서효원(Hyo Won Suh),이현찬(Hyun Chan Lee),전홍배(Hong Bae Jun)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.1998No.5_2[1998]
",1998,Korean,,,,"학술저널
",http://www.ksae.org,613-618,,,, DBpia,,,"Recently, customers for automobiles expect new models in a short life cycle. Therefore, is has been important to reduce the development lead-time. However, a traditional development system is not appropriate to meet these changes. Thus, Concurrent Engineering (CE)has been introduced to solve these problems as a key business strategy based on information technology. CE is a way of attaining three objectives simultaneously; reducing time to market, improving product quality, and lowering product costs.<br/>
The purpose of this study is to recommend a CE strategy for improving the development process of Korean automotive industries. Thus, the key factors of CE and their effectiveness on the development processes are introduced, Based on that, the competitiveness of US and Japan automobile industries are analyzed, and the problems of development processes of Korean antomotive industries are investigated. Finally, a CE strategy for improving the problems are proposed.<br/>
","Abstract<br/>
1.서론<br/>
2.동시공학 : Key Factors 및 Process Effectiveness<br/>
3.국내외 자동차 개발 현황<br/>
4.결론: 국내 자동차 개발의 개선 전략<br/>
참고문헌"
친환경 자동차 개발 동향 및 발전 과제,권문식,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2007No.-[2007]
",2007,Korean,,,,"학술저널
",http://www.ksae.org,1-11,,,, DBpia,,,,"1. 친환경 자동차의 필요성
2. 하이브리드 자동차 개발현황
3. 연료전지 자동차 개발현황
4. 정부정책 동향
5. 맺음말
"
전기자동차 동력장치에 관한 연구 (Brushless 전동기 및 제어기의 개발) = A Study on the Developement of Traction Motor ＆ Controller for Electric Vehicle,"공영문,허금강,장승일,이성택,문형태,이재한,김기남",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.1996No.6_2[1996]
",1996,Korean,,,,"학술저널
",http://www.ksae.org,24-29,,,, DBpia,,"환경문제의 대두와 함께 도심공해의 주범인 자동차의 배기가스에 대한 관심이 고조되면서 전기자동차에 관한 연구가 세계는 물론 국내 자동차 업계에서도 활발히 진행되고 있다.본 연구는 전기자동차의 핵심부품인 구동부에 관한 것으로써 고효율, 고출력밀도의 장점을 갖는 브러쉬 없는 직류전동기와 제어기 개발을 다루었다. 전동기 출력용량은 차량에서 요구하는 성능 만족을 위해 주행특성을 시뮬레이션하여 선정하였고, 특히 제어기는 벡터제어, 감자계제어 및 회생제동이 구현되었고 아울러 탑재형 충전장치 및 보조전원 공급장치를 기능을 포함시켰다. 개발된 전동기 및 제어기는 단품하시험을 실시 그 성능을 평가하였으며 기존 가솔린 자동차를 개조하여 차량성능을 확인하였다.",,"ABSTRACT<br/>
Ⅰ.서론<br/>
Ⅱ.본론<br/>
Ⅲ.결론<br/>
참고문헌"
운행 자동차의 첨단 자동차검사 시스템 도입에 관한 연구,"여운석(Unseok Yeo),박원덕(Wondeok Park),정영달(Yongdal Jung),오상엽(Sangyeob Oh),강병도(Byungdo Kang)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2012No.11[2012]
",2012,Korean,"Vehicle safety inspection(자동차 안전검사),Vehicle in service(운행 자동차),Static braking force(정적제동력),Dynamic braking force(동적 제동력),Side slip(측면 미끄러짐)",,,"학술저널
",,2603-2608,,,, DBpia,,,"According to vehicle control regulations in 1917, vehicle inspection system of a vehicle in service has been conducted by the transportation safety authority and non-official servicing shops. In advanced country, a vehicle safety inspection system has been conducted according to its real situation. Especially, Japan, Germany and USA etc. make an effort not only the reliability, but also the quality of a safety inspection service by introducing an advanced vehicle inspection system. But, in korea, trying to improve the operation such as the development of a computing system, the automation of inspection equipment and inspection standard service etc. by the transportation safety authority during about 50 years, the existing vehicle safety inspection system has been conducted without the improvement of a special legal and system. In this study, in order to develope and introduce an advanced vehicle safety inspection system, which apply flexibly to new vehicle design technology and consider to the reliability and facility, we try to improve the efficiency of advanced safety inspection methods by comparing exist safety inspection methods with advanced safety inspection methods. And advancing the safety inspection equipment on the base of this study""s result, the purpose of this study make an offer to not only setting the equipment with applicable in inspection center, but also increasing the effectiveness of the vehicle inspection system, withdrawing inconvenience according to inspection a vehicle in service, and optimal servicing a vehicle safety inspection. Especially, up to now, the study on a safety inspection for a vehicle in service after a delivery new vehicle was not sufficient, we provide the fundamental data to a government policy on the base of this study""s result.","Abstract
1. 서론
2. 연구내용 및 방법
3. 연구결과 및 고찰
4. 결론
References
"
장애인 자동차 관련 국외 자동차안전기준 현황 파악 및 국내 기준(안) 도입방향 검토 = A Study of Vehicle Safety Standards for the Disabled,"심소정(So-Jung Shim),박요한(Yo-Han Park),윤경한(Kyong-Han Yoon)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2008]
",2008,Korean,"Vehicle Safety Standards(자동차안전기준),The Disabled(장애인),Vehicle for the disabled(장애인 자동차),Crashworthiness(충돌안전성)",,,"학술저널
",http://www.ksae.org,1237-1246,,,, DBpia,,,"As a possibility for participation in social activity of people with disabilities increased, a request for a special vehicle for the person with reduced mobility is augmenting. There is no domestic vehicle safety regulation to ensure a crash worthiness of vehicle for people with disabilities in a traffic accident. Therefore, it is necessary that we make the domestic vehicle safety regulation of special vehicle for the person with reduced mobility. This paper is concerned with a general plan of the domestic vehicle safety regulation for the disabled.","Abstract
1. 서론
2. 장애인 자동차 관련 국내외 기술개발 및 기준현황
3. 장애인 자동차 관련 국내 안전기준 도입 방안
4. 결론
감사의 글
References
"
보험업계의 자동차 재활용 부품의 활성화 방안,"오재건(Jaegeon Oh),이상돈(Sangdon Lee),홍영희(Younghee Hong)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2009No.11[2009]
",2009,Korean,"Recycled Part(재활용 부품),Automotive Insurance (자동차 보험),Automotive parts(자동차 부품)",,,"학술저널
",,2647-2652,,,, DBpia,,,"A law on recycling of electric and electronic products and automobiles was formulated in the world. The law encourages auto-makers and related industries to related products including the automobiles by controlling use of contamination materials, producing more recyclable parts and systems and establishing more efficient recycling system for appropriate use of resources so that it could contribute to environmental conservation and sound development of national economy. The recycling and remanufacturing of automobile parts is important for increasing the recycling percentage, however making a market for reusable and remanufactured parts is more important.
  In accordance, in the thesis, a research on increasing use of the reusable automobile parts for repairing insured damaged automobiles is conducted, hoping it to be reflected by related authorities such as Financial Supervisory Service and insurance companies.","Abstract
1. 서론
2. 국내 자동차 부품비용 지급현황
3. 보험수리에 있어서 재활용 부품의 적용의 문제점
4. 보험수리에 있어서 재활용 부품의 적용의 해외 사례
5. 자동차 보험시장의 재활용 부품의 활성화 방안
6. 결론
References
"
자동차 개발기간단축을 위한 전산응용기술 및 향후 과제,"함병렬,김용성,최천",한국자동차공학회,한국자동차공학회 기타 간행물,"Vol.-No.-[1999]
",1999,Korean,,556.0,,"학술저널
",http://www.ksae.org,41-51,,,, DBpia,,"세계자동차시장의 경쟁이 치열해지고 있는 가운데, 자동차 메이커들은 개발기간 단축을 위해&quot;플랫품의 집약화&quot;와&quot;공동설계&quot;를 앞다투어 도입.전개하고 있다. 그러나 이러한 방안은 개발기간단축과 개발비용 절감측면에서 한계점이 잇으며, 해결책으로는 CAE Tool의 활용과 조직운영이 가장 효율적인 방법이다. 본고에서는 이러한 관점에서 기아자동차의 개발기간단축을 위한 전산응용기술 사례를 소개하고, CAE 향후과제를 제안한다.",,"요약(Abstract)
1.序論
2.개발기간단축과 CAE의 相關關係
3.기아자동차의 開發期間 短縮方案
4.향후 CAE 推進方向
5.結論
6.參考書籍 및 引用資料"
자동차용 도금강판의 적용동향 및 국산화,"조영갑,유기준",한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1989]
",1989,Korean,,556.0,,"학술저널
",http://www.ksae.org,45-55,,,, DBpia,,,,"1.서론
2.자동차 방청규제 동향
3.자동차의 부식형태 및 그 대책
4.표면처리 강판의 종류
5.표면처리 강판사용의 세계적 추세
6.국내 자동차 업계의 도금강판 사용동향 및 국산화"
자동차 재활용의 향후 전망과 대책,김상욱,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1998]
",1998,Korean,,556.0,,"학술저널
",http://www.ksae.org,91-104,,,, DBpia,,,,"국내 폐자동차의 발생 현황
선진국의 폐자동차 처리 시스템
폐자동차의 특성변화와 재활용
국내 폐자동차의 처리 시스템
폐차관련 정책의 문제점
폐차 관련업체 현황 및 문제점
자동차 제작사의 재활용 및 문제점
중고부품의 재활용 및 품질보중 체계
효율적 회수ㆍ처리를 위한 방안
재활용률 목표 설정"
1000만대 시대의 자동차공해 현황과 대책,양방철,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1997]
",1997,Korean,,556.0,,"학술저널
",http://www.ksae.org,5-17,,,, DBpia,,,,"자동차공해 현황
자동차공해대책의 필요성과 문제점
1,000만대 시대의 자동차공해 전망
1,000만대 시대의 자동차공해저감 정책목표 및 추진방향
자동차 공해저감 세부대책"
자동차 전자 장치의 동향,이상열,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1986]
",1986,Korean,,556.0,,"학술저널
",http://www.ksae.org,31-41,,,, DBpia,,,,"1.머리말
2.자동차의 전자화 추진동기
3.자동차 전자화의 적용 추이
4.자동차 전자 장치의 장착 제품 동향
5.자동차 전자 장치의 소개
6.맺음말"
등가 연료 소모량을 이용한 연료전지 자동차의 하이브리화에 대한 평가,"정춘화(Chunhua Zheng),신창우(Chang Woo Shin),박영일(Yeong-il Park),차석원(Suk Won Cha)",한국자동차공학회,한국 자동차공학회논문집(Transactions of Korea Society of Automotive Engineers),"Vol.19No.5[2011]
",2011,Korean,"Fuel cell hybrid vehicle(연료전지 하이브리드 자동차),Power management strategy(동력관리 전략),Equivalent hydrogen consumption(등가 수소 소모량),Fuel cell vehicle(연료전지 자동차)",,KCI등재,"학술저널
",http://www.ksae.org,143-147,1.0,,," NDSL, &nbsp;&nbsp; DBpia",영남대학교 과학도서관,,"Operating points of a fuel cell system (FCS) can be shifted to its high-efficiency region by hybridization in a fuel cell hybrid vehicle (FCHV), so the hydrogen can be saved. In this paper, the hydrogen consumption of an FCHV is compared to that of a fuel cell vehicle (FCV). A power management strategy is applied to the FCHV and the related simulation is carried out. The concept of equivalent hydrogen consumption is introduced in order to consider the effect of the difference between initial and final battery SOC on the total hydrogen consumption.","Abstract
1. 서론
2. 연료전지 하이브리드 자동차의 주행전략
3. FCHV와 FCV의 수소 소모량의 비교
4. 결론
후기
References
"
주행거리확장 전기자동차의 발전기용량에 관한 연구,"김재환(Jaehoan Kim),김선경(Seonkyung Kim),선진(Jin Sun),김석명(Seokmyung Kim),강동우(Dongwoo Kang)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2013No.5[2013]
",2013,Korean,"Range Extender(주행거리확장 전기자동차),Generator(발전기),Driving Range(주행거리),Battery(배터리,전기자동차용 이차전지),Max Speed(최고속도),B-Segment(B세그먼트,준중형급자동차)",,,"학술저널
",,1871-1878,,,, DBpia,,,"Most of countries are expanding their policy to supply eco-friendly vehicles and many car-makers are developing and launching their own electric vehicles. Unlike a preexpectation, however, the market of electric vehicle is still cold because of several critical problems. The major obstacles are short driving range, high cost, charging solution and so on. So new type of range extenders are being developed and introduced these days to present the solutions about driving range, cost and charging problem. This paper mentions the several kinds of range extender and relation between the generator capacity and driving performance. The generator power of the range extender should be considered what the car is for and who the user is and how much the target cost is. After ending pure EV-mode, in extended mode, what is the maximum continuous speed on the highway? At the flat road, at the 3% gradient, 5%,… what is the max keeping speed? How about the cost impact? What about the commercial value? In this document we can have a chance to think about the generator output of the range extender.","Abstract
1. 서론
2. 레인지 익스텐더
3. REEV의 발전기 용량검토
4. 결론
References
"
전기자동차 소리발생 관련 국제기준개발 동향 및 음압레벨 연구,"박진우(Jinwoo Park),이균석(Kyunseok Lee),배중호(Jungho Bae),권해붕(Heaboung Kwon)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2012No.11[2012]
",2012,Korean,"QRTV(저소음자동차),AVAS(소리발생장치),SPL(음압레벨),EV(전기자동차),HEV(하이브리드 자동차),ICEV(내연기관자동차)",,,"학술저널
",,1523-1528,,,, DBpia,,,"The environmental benefits achieved by electric and hybrid electric road transport vehicles(EV/HEV) reduced fossil fuel demands and very quiet vehicle operation at low speeds. EV and HEV have the advantage of being more environmentally friendly and quieter than internal combustion engine vehicles. But reduced noise can also lead to potentially dangerous situations for pedestrians when an oncoming vehicle is inaudible due to background noise and low sound level of vehicles. So the installation of a device to provide sound as loud as the conventional vehicles has been discussed as a counter action against the quietness problem. Measures to deal with the quietness problem are currently being discussed by many governments. As an international agreement of these actions, a special informal group called ""Quiet Road Transport Vehicles(QRTV)"" was established in 2010 to deal with this problem within the Working Party on Noise(GRB), a subsidiary body of the UN/ECE/WP29. The system is called the Acoustic Vehicle Alerting System(AVAS). So external acoustic warning system should be provided to the vehicle. The system should automatically emit a sound when the vehicle is driven at a speed of less than 20km/h; the sound should be a continuous sound that evokes the running condition of a vehicle. We tested EV and ICEV and this system according to the GRB guidelines, the sound level is not exceed approximately 60dB at a 2m distance from the center of the vehicle.","Abstract
1. 서론
2. 국제 기준개발 동향
3. 실험장비 및 방법
4. 실험결과 및 고찰
5. 결론
References
"
현대 자동차 무향 풍동에서의 외부 소음원 파악 기술 = External Wind Noise Source Identification in Hyundai Aeroacoustic Wind Tunnel,"정승균(Seungkyun Chung),김무상(Moosang Kim),이강덕(Kang Duck Ih)",한국자동차공학회,한국자동차공학회 학술강연 논문집,"Vol.-No.-[2000]
",2000,Korean,,556.0,,"학술저널
",http://www.ksae.org,65-73,,,, DBpia,,,,"ABSTRACT
1.서론
2.현대자동차 무향 풍동(HAWT)
3.음향 홀로그래프
4.홀로그래프에 의한 자동차 외부 소음원
5.홀로그래프 방법에 의한 MIRA 자동차 풍절음 발생원인 파악 결과 및 검토
6.결론
후기
참고문헌"
최적화 해석기법을 적용한 자동차 제상성능 해석기술 개발,"서현석(Hyeon-Seok Seo),서진원(Jin-Won Seo),최봉근(Bong-Keun Choi)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2019No.11[2019]
",2019,Korean,"Defrost Performance(제상성능),Windshield(자동차 전면유리),Automotive(자동차),CFD(전산유체역학),Optimization(최적화)",,,"학술저널
",,502-507,,,, DBpia,,,"In this study, we developed the numerical analysis method to improve the defrost performance on the windshield using the multi-objective optimization method based on the CFD. The configurations of guide-vane and discharge angles in the center DEF duct section which are main design factors of the defrost performance were set to the design parameters for this study. And also, the discharge mass flow rate from the HVAC which is transferred to the windshield and the discharge areas in the center DEF duct were set to the objective functions to find the optimal design. In case of using these methods, it is possible to reduce the calculation time, and effectively analyze the results from it by controlling the design parameters systematically. These methods also make it possible to check the performance rapidly, and propose the optimal design through the analytical verifications on the initial design.","Abstract
1. 서론
2. 연구 방법
3. 연구 결과
4. 결론
References
"
저장 환경에 따른 자동차용 경유의 산화열화 특성 규명 연구,"민경일(Kyong-il Min),임의순(Eui Soon Yim),정충섭(Chung-Sub Jung),김재곤(Jae-Kon Kim),나병기(Byung-Ki Na)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2012No.5[2012]
",2012,Korean,"Bio-diesel(바이오디젤),Oxidation Degradation(산화안정성),Quality Specification(품질기준),Radical Reaction(라디칼반응)",,,"학술저널
",,372-379,,,, DBpia,,"자동차용경유는 온도 및 햇빛 노출 등의 저장환경에 따라 산화열화에 의해 유기산 및 중축합 고분자 물질이 생성되어 금속재료의 부식과 고무ㆍ수지 등의 열화 및 연료공급 시스템의 축적물로 남아 차량 문제를 유발 시킬 수 있다. 최근에는 산화안정성이 열악한 바이오디젤의 혼합에 따라 다양한 산화안정성 규명 연구가 다수 수행된 바 있다. 하지만 대부분 가혹조건의 실험실 조건에서 수행 되었을 뿐 실제 저장환경과 품질 변화 및 차량영향에 대해 충분히 반영하지는 못하였다. 따라서 본 연구에서는 현재 유통되고 있는 자동차용경유(바이오디젤 2% 혼합)와 바이오디젤을 추가로 혼합하여 제조한 바이오디젤 5%혼합 연료에 대해 저장용기(차량 연료탱크, 폴리에틸렌(PE) 재질 및 철재 용기) 별, 저장환경(햇빛 노출 외부 옥상, 햇빛 비노출 창고, 60℃ 오븐) 별, 대기 중 공기노출 및 구리(Cu) 금속 접촉 등에 대한 산화열화 영향을 18주간(6월~10월) 평가하여 실제 품질기준 항목에 미치는 영향을 분석하였다. 그 결과 모두 품질기준은 벗어나지는 않으나 PE 재질 용기의 경우 햇빛 노출에 의해 급격한 산화가 일어나 세탄가, 밀도, 동점도, 산가 품질항목의 증가를 초래하였고 금속(Cu)의 접촉에 의해 산화열화의 정도가 크게 나타났다. 하지만 햇빛에 직접적인 노출이 없는 차량 연료탱크, 철재용기, 창고저장 PE재질 용기, 60℃오븐 저장 등의 조건에서는 특별한 물성변화가 발생되지 않았다. 대기 중 공기노출의 경우는 저비점 성분의 증발과 산화열화에 의해 세탄가, 밀도, 동점도, 산가의 증가를 보였다. 따라서 자동차용 경유는 햇빛에 직접적인 노출이 없는 이상 산화열화가 크게 일어나지 않으며, 산화된 시료의 물성은 품질기준은 만족하나, 산화에 의한 산성 물질 및 고분자 물질의 생성으로 자동차 연료공급 시스템에 문제를 유발할 수 있으므로 저장환경에 유의해야 된다.",,"1. 서론
2. 연구 방법
3. 연구결과 및 고찰
4. 결론
References
"
한미FTA에 의한 자동차 분야의 변화와 우리의 자세,김필수,한국자동차공학회,한국자동차공학회 Workshop,"Vol.2007No.-[2007]
",2007,Korean,,,,"학술저널
",http://www.ksae.org,70-81,,,, DBpia,,,,"1. 한미FTA 자동차분야 타결에 따른 최근의 변화
2. 한미FTA 자동차분야 결과 정리
3. 한미FTA에 따른 자동차 애프티마켓 분야의 변화
4. 한미FTA 자동차분야의 중점 점검 사항
5. 한미FTA 자동차분야의 떠오르는 직종
6. 앞으로의 우리의 자세
"
自動車 交通事故 豫防을 위한 綜合的 方案,한국자동차공학회,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1994]
",1994,Korean,,556.0,,"학술저널
",http://www.ksae.org,38-44,,,, DBpia,,,,"1.序言
2.交通安全 關聯 行政嶪務 統合
3.道路와 安全施設의 性能檢査 制度導入
4.交通安全 私報 및 敎育 早期 實施
5.運轉免許 試驗 등의 改善
6.事故 調査 分析을 위한 專門機構 必要
7. 自動車關聯 稅金의 一部는 自動車 安全部門에 使用
8.結言"
자동차와 전기ㆍ전자 기술 = Electrical and Electronic Technologies for Automobile,선우명호(Myoungho Sunwoo),한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.1997No.11_1[1997]
",1997,Korean,,,,"학술저널
",http://www.ksae.org,323-328,,,, DBpia,,,"Global competition of automotive market, affordable prices of electronic components, and tougher regulations on emission, fuel econmy, and safety become the major reason that automotive industries rapidly employ a large number of electric and electronic systems. Considering that the application of electronic technologies for automobile is incresing at a rapid rate, it would be worthwhile to evaluate the trend of the uses of major electric and electronic systems for the 21st century vehicle. To enhance the nation's competitive edge of automotive industries, huge capital investment for developing the major electronic technologies is inevitable. The major technology will be leaded by 32/64-bit micro controller unit(MCU), on-chip flash memory, hybrid ASICs, IGBT, and smart sensors.<br/>
","ABSTRACT<br/>
1.전기ㆍ전자 기술과 자동차<br/>
2.자동차와 전자산업<br/>
3.차세대 자동차 전기ㆍ전자장치<br/>
4.차세대 자동차를 위한 주요ㆍ전자기술<br/>
5.결론<br/>
참고문헌"
국내ㆍ외 자동차 실내공기질 관련 연구 동향 = Status of Worldwide Auto-Cabin Air Quality Study,"이현우(Hyunwoo Lee),최영태(Youngtae Choi),이광범(Kwangbum Lee),이정기(Jeongki Lee),김광일(Kwangil Kim),이정화(Jeongwha Lee),임종순(Jongsoon Lim),신영복(Youngbok Sin)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2006]
",2006,Korean,"VOCs(Volatile Organic Compounds),Sick House Syndrome(새집증후군),GC/MS(가스크로마토그래피/질량분석법),HCHO(포름알데히드)",,,"학술저널
",http://www.ksae.org,495-500,,,, DBpia,,,"All across our nation, people live, work, and learn in indoor environments and especially, many people spend more time than ever before inside of cars. Recent years have been increasing attention focused on the air contamination inside auto-cabin. The sources of air contamination inside auto-cabin are roughly divided into internal sources(ex. chemical compounds from interior material) and external sources(ex. tail-pipe emission etc.). The Purpose of this research is to examine the status of worldwide auto-cabin air quality study, and to give the information when research is intended to develop methods to mitigate indoor air problem from auto-cabin.","Abstract
1. 서론
2. 외국의 자동차 실내공기질 관련 연구 동향
3. 국내의 자동차 실내공기질 관련 연구 동향
4. 결론
References
"
복합재료 자동차 부품의 설계및 제조방법,"이대길,오박균",한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1994]
",1994,Korean,,556.0,,"학술저널
",http://www.ksae.org,57-65,,,, DBpia,,,,"ABSTRACT
1.서론
2.자동차 부품제조에 사용되는 복합재료의 특성
3.자동차용 드라이브 샤프트
4.복합재료 Door Side Impact Beam
5.복합재료 제조방법및 제조된 제품
6.결론
참고문헌"
