제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
125㏄ 엔진을 이용한 자작 자동차 제작 고찰,"이일권(ILkwon Lee),국창호(Changho Kook),박종건(Jonggeon Park),이정호(Jeongho Lee),신태환(Taehwan Shin),유영준(Youngjun You),이윤규(Yunkyu Lee),권영문(Youngmoon Kwon)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2016No.5[2016]
",2016,Korean,"Body(차체),Roll cage(롤 케이지),Engine(엔진),Power-train(동력전달장치),Chassis (섀시),Wiring(전기배선)",,,"학술저널
",,955-958,,,, DBpia,,,"This paper is to study and analyze for manufacturing of a vehicle using with 125㏄ engine. The first, we made the manufacture a car using with material of the carbon steel pipe that was 27㎜ in a diameter and 2.9㎜ on thickness. But all frame manufacture of a car as knuckle and power-train system made the same pipe, the acceleration power of a car was very disadvantage driving. Therefore this problem must improve accurately. The second, the sprocket teeth ratio of power-train system adjusted on 4.61:1 that the number of tooth processed with 13 tooth on small gear and 60 tooth on large gear. It verified the fact that the gear ratio did to optimize the driving condition on kunsan contest in 2015. The third, the suspension in chassis system softly controlled the hardness of front side and stiffly adjusted the damping force of rear shock absorbers. It was knew for the driver to advantage driving his a car. The steering system largely could make better use of a space when moving in front of pedal. Also, the brake system was improved to distribute the accurate brake force by two clutch master cylinder.","Abstract
1. 서론
2. 자동차 제작규정
3. 자동차 제작
4. 결론
References
"
Giga급 강재를 활용한 자동차 차체 컨셉 및 경량부품 개발,"김홍기(H.G. Kim),최한호(H.H. Choi),임지호(J.H. Lim),조열래(Y.R. Cho),유병주(B.J. Yoo)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2011No.5[2011]
",2011,Korean,"자동차(Automotive),경량화(weight reduction),BIW (Body In White),기가급 강재(Giga steel grade),HPF(열간프레스성형),HF(하이드로포밍),RF(롤포밍)",,,"학술저널
",,1887-1894,,,, DBpia,,,"Concept of steel intensive light weight BIW composed by giga tensile strength grades of TWIP, DP and HPF(hot press forming) materials was developed. Vehicle’s weight was reduced as much of 20% compared with the bench marking vehicle of 223.8㎏, and it showed good performance of collision and roof crush as well NVH. And weight reduced automotive parts that construct the concept were developed by adoption of various forming method such as hydroforming, stamping and hot press forming method.","Abstract
1. 서론
2. Giga급 강재를 이용한 자동차 차체 컨셉 개발
3. Giga structure 컨셉 경량부품 개발
4. 결론
참고문헌
"
졸-겔법을 이용한 자동차 배기 가스 정화 촉매의 개발 = Development of Automobile Catalyst using Sol-Gel Process,"설용건(Young Gun Shul),양재춘(Jae Choon Yang),정석진(Suk-Jin Jeoung),신창섭(Chang Sub Shin)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[1994]
",1994,Korean,,,,"학술저널
",http://www.ksae.org,293-299,,,, DBpia,,,,"1.자동차 정화촉매의 일반적 요건<br/>
2.자동차 정화 촉매의 연구 경향<br/>
3.자동차 배기 정화 촉매에서의 졸-겔법의 응용<br/>
4.결론<br/>
5.참고문헌"
전기 및 전자부문을 활용한 자동차 공업 발전 동향,장재춘,한국자동차공학회,한국자동차공학회 학술강연 논문집,"Vol.-No.-[1991]
",1991,Korean,,556.0,,"학술저널
",http://www.ksae.org,131-140,,,, DBpia,,,,"1.자동차 공업은 전기 및 전자부문의 기여로 인해 몇년전부터 급속하게 발전하였다.
2.자동차에서 요구하는 전력 분포도
3.전자 제어 장치
4.교통 정보 시스템
참고 문헌"
중국 자동차 현황,편집부(편집자),한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,,,,"학술저널
",http://www.ksae.org,1-7,,,, DBpia,,,,"06년 중국의 자동차 생산량
06년 자동차사별 이윤
2007년 중국 자동차 업체 전략
결론
"
자동차서비스 복합단지와 미래전략자동차산업 활용 방안,"하성용(Sungyong Ha),장형성(Hyeongseong Jang),이용우(Yongwoo Lee)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2018No.6[2018]
",2018,Korean,"Automobile service(자동차 서비스),Automobile industry(자동차 산업),Future strategy(미래 전략),Convergence(융복합),Complex(복합단지),After market(애프터마켓)",,,"학술저널
",,1284-1284,,,, DBpia,,,,
제동 직전 자동차 주행 속도 추정에 관한 연구 = An Estimate of Vehicle Velocity of Braking Starting Point,"한창평(Chang Pyoung Han),박경석(Kyoung Suk Park),최명진(Myung Jin Choi)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,"Transient Brake Distance(과도제동거리),Friction Coefficient of Tire and Road(타이어와 도로의 마찰계수),Skid Mark(활주흔적),Automobile Accident(자동차 사고),Estimated Automobile Speed(추정자동차속력)",,,"학술저널
",http://www.ksae.org,1173-1179,,,, DBpia,,,"The transient brake time or distance is one of very important factors to guess the vehicle speed to inspect an automobile accident. But, it is usual that the vehicle speed is estimated by using only skid mark without considering the transient brake distance. Deceleration and the friction coefficients of tire and road surface play an important role in calculating the brake distance. In this paper, a scheme is presented to estimate more accurate automobile speed. The scheme contains the effect of the transient brake distance on the speed. Experiment was carried out on the asphalt, unpacked road to get relationships between the speeds and the skid mark distances, and to get the transient brake time. The experimental results were utilized to construct the equation to approximate more realistic vehicle speeds.","Abstract
1. 서론
2. 제동이론
3. 실험방법
4. 실험 결과
5. 결론
References
"
연료전지 자동차의 주행성능 예측을 위한 전기자동차 및 연료전지의 성능실험과 수학적 모델링,"조용석(Yong-Seok Cho),김득상(Duk-Sang Kim),안석종(Seok-jong An)",한국자동차공학회,한국 자동차공학회논문집(Transactions of Korea Society of Automotive Engineers),"Vol.14No.5[2006]
",2006,Korean,"Electric vehicle(전기자동차),Motor-battery model(모터-배터리 모델),Simulation(모의실험),Fuel Cell Model(연료전지 모델),Fuel cell electric vehicle(연료전지 전기자동차),SOC(State of charge : 충전상태),Maximum speed(최고속도),Driving mode(주행 모드)",,KCI등재,"학술저널
",http://www.ksae.org,65-72,1.0,,," NDSL, &nbsp;&nbsp; DBpia",영남대학교 과학도서관,,"In new generation vehicle technologies, a fuel cell vehicle becomes more important, by virtue of their emission merits. In addition, a fuel cell is considered as a major source to generate the electricity for vehicles in near future. This paper focuses on modeling of not only an electric vehicle and but also a fuel cell vehicle to estimate performances. And an EV cart is manufactured to verify the modeling. Speed, voltage, and current of the vehicle and modeling are compared to estimate them at acceleration test and driving mode test. The estimations are also compared with the data of the Ballard Nexa fuel cell stack. In order to investigate a fuel cell based vehicle, motor and fuel cell models are integrated in a electric vehicle model. The characteristics of individual components are also integrated. Calculated fuel cell equations show good agreements with test results. In the fuel cell vehicle simulation, maximum speed and hydrogen fuel consumption are estimated. Even though there is no experimental data from vehicle tests, the vehicle simulation showed physically-acceptable vehicle characteristics.","Abstract
1. 서론
2. 전기자동차
3. 연료전지 실험 및 모델링
4. 결과 및 고찰
5. 결론
후기
References
"
자동차의 시스템출력 시험방법 개발,"최동석(Dongseok Choi),이정기(Jungki Lee),이광범(Kwangbum Lee),권해붕(Heaboung Kwon),용기중(Geejoong Yong)",한국자동차공학회,한국자동차공학회 부문종합 학술대회,"Vol.2012No.5[2012]
",2012,Korean,"System power(시스템 출력),Powertrain test bed(파워트레인 시험대),Drivetrain(구동계),ICEV(내연기관자동차),HEV(하이브리드자동차),FCEV(연료전지자동차),EV(전기자동차),AT(자동변속기),CVT(무단변속기),Reduction gear(감속기)",,,"학술저널
",,1790-1795,,,, DBpia,,,"The concept of system power for motor vehicles becomes necessary because multi power sources and drivetrain are adapted in motor vehicles for the energy savings and the precise emission controls. System power is defined as the power is measured on the powertrain test bed. It is possible to measure the wheel torque precisely using the powertrain test bed due to the direct connection between absorber and the end of drivetrain without tire. Two different test methods were developed for system power measurement. One is the acceleration at full load under road load (i.e., Method Ⅰ); the other is the acceleration at full load under constant vehicle speed (i.e., Method Ⅱ). Test vehicles were ICEV, HEV, FCEV, and EV. The drivetrains for the vehicles were AT, CVT, and reduction gear respectively. It was found that ICEV had the lowest maximum system power by the method I due to the efficiency of the drivetrain. The other vehicles were similar results of the maximum system power for two different test methods. Therefore, it could be adopted these two methods for the measurement of system power in motor vehicles.","Abstract
1. 서론
2. 시험장비 및 방법
3. 실험결과 및 고찰
4. 결론
후기
References
"
자동차 전기장치의 그라운드 구조 분석 및 그라운드 전위 예측을 위한 모델링에 관한 연구 = A Study on Automotive Ground Structure and Its Modeling for simulating a Ground Voltage,"임한상(Hansang Lim),이동환(Donghwan Lee),박재홍(Jaehong Park),옥순석(Soonseock Ok),김의봉(Euibong Kim)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2004]
",2004,Korean,"자동차 그라운드 구조(automotive ground structure),그라운드 전위(ground voltage),모델링(modeling),시뮬레이션(simulation)",,,"학술저널
",http://www.ksae.org,1596-1601,,,, DBpia,,,"This paper analyzes an automotive ground structure and presents an automotive ground model to estimate a ground voltage and its variation. As more electrical equipment is installed in an automobile, its ground voltage becomes more important since its performance is dependent on it. Accordingly, it is essential to estimate a ground voltage and its variation in its design stage to guarantee a stable operation of the equipment. In this paper, an automotive ground model is developed, which can be used for simulating a steady state ground voltage. By dividing an automotive ground structure into an engine room ground and a body ground, they are modeled as equivalent resistive networks. A ground voltage is simulated using the developed model and is compared with measured voltage from an actual car. Comparison of these two results shows good agreement and the reliability of the model is confirmed.","Abstract
1. 서론
2. 자동차 그라운드 구조 분석
3. 자동차 그라운드 구조 모델링
4. 그라운드 모델 검증
5. 결론
References
"
지능형자동차 인식기술개발 지원을 위한 공개용 DB를 활용한 도로대장통합시스템 적용 고찰,"이동하(Dong-Ha Lee),신문승(Moon-Seung Shin),조국(Kook Cho)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2018No.11[2018]
",2018,Korean,"Intelligent vehicle recognition techinique(지능형자동차 인식기술),Public database(공개용 DB),Road maintenance(도로관리),Road database(도로대장),Integrated road system(도로대장통합시스템)",,,"학술저널
",,1417-1420,,,, DBpia,,,"According to Article 56 of the Road Act and Article 24 of the Enforcement Rules of the Road, Act, road register/database should be prepared and stored in accordance with the Form No. 22 of the Enforcement Rules of the Road Act. The database is constructed based on the law and is computerized and used for road maintenance. The road computerization project will efficiently manage the vast amount of road construction and other records that have been created and stored with conventional paper, prevent damage, loss, and damage to the data, and facilitate the search of necessary drawings and documents. The existing plans and documents have been computerized to facilitate smooth implementation and maintenance of road maintenance and investment plans. The computerized road data are prepared using the results of the completion work produced through the road construction site such as the quantity calculation sheet, the service report and the completed drawings at the construction stage. The computerized road data prepared by road construction result is widely used for road maintenance, occupancy management and road planning. In this paper, we propose a method to apply the integrated road system to support the development of intelligent automobile recognition technology that can efficiently recognize road facilities and vehicle information based on the public data constructed in the existing road database.","Abstract
1. 서론
2. 도로대장 DB의 활용성 검토
3. 공개용 DB를 활용한 지능형 자동차 인식기술 개발
4. 결론
References
"
Web과 모바일 기술을 이용한 자동차 프레스 금형의 불량 관리 = Fault managements of Automotive Press Dies using Web and Mobile Technology,"이강걸(Kang Kul Lee),노상도(Sang Do Noh),양철모(Chul Mo Yang),이창호(Chang Ho Lee),이인석(In Seok Lee),송명환(Myung Whan Song)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2004]
",2004,Korean,"Automotive Press Die(자동차 프레스 금형),Fault Management(불량 관리),Web(웹),Mobile(모바일)",,,"학술저널
",http://www.ksae.org,1335-1339,,,, DBpia,,,"There has been many research activities in the area of fault managements of distributed manufacturing environments. This paper proposes and implements a web-based fault management system with some mobile technologies, such as wireless LAN, SMS and etc. Web-based project document management system, web-based fault management system and web-based tryout management system are developed and adopted to an automotive die shop of a Korean Automobile company, and as-is, to-be business process and supporting applications for fault managements are discussed in this paper.","Abstract
1. 서론
2. 프레스 금형 공장의 불량 관리
3. Web과 모바일 기술을 이용한 자동차 프레스 금형 공장의 불량관리
4. 결론
References
"
자동차 부품 리사이클링 현황과 전망,이영훈,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1992]
",1992,Korean,,556.0,,"학술저널
",http://www.ksae.org,63-73,,,, DBpia,,,,"1.서론
2.법규제 동향
3.유럽의 자동차부품 리사이클링 동향
4.미국의 자동차부품 리사이클링 동향
5.일본의 자동차부품 리사이클링 동향
6.폐기물 재자원화 사례
7.폐 자동차의 처리
8.결론
참고문헌"
보행자 사고시 상해감소를 위한 자동차 후드 및 범퍼 구조물의 설계 = Vehicle Hood and Bumper Structure Design to Mitigate Casualties of Pedestrian Accidents,"이재완(Jae-Wan Lee),김춘원(Choon-Won Kim),박경택(Kyung-Taek Park),박경진(Gyung-Jin Park)",한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2004]
",2004,Korean,"Pedestrian Protection(보행자 보호),EEVC WG17(유럽자동차개선위원회 보행자보호 실무위원회),Hood(후드),Bumper(범퍼),Orthogonal Array(직교배열표)",,,"학술저널
",http://www.ksae.org,746-753,,,, DBpia,,,"Although the numbers of pedestrian fatalities and injuries are steadily declining worldwide, pedestrian protection is still an important issue. Extensive researches have been carried out in the fields of pedestrian protection in order to establish pedestrian safety regulations. The automobile hoods and bumpers, which pedestrians frequently run into during accidents. should be designed safely for pedestrians. Two analysis methods are utilized to design safe structures of the hood and the bumper. They are real experiment and computer simulation. In this research, a method is developed to simultaneously use in respect of experiment and simulation. Orthogonal arrays are employed to combine the two methods. Based on this method, a hood and a bumper are designed to protect pedestrians.","Abstract
1. 서론
2. 보행자 상해 및 평가방법
3. 실험과 컴퓨터 모사결과를 동시에 이용하여 직교배열표로 설계하는 방법
4. 보행자 상해감소를 위한 자동차 후드 및 범퍼 구조물의 설계
5. 결론
후기
References
"
세계 자동차 산업 동향과 INFOTAINMENT 제품 이슈 및 대응방향,주영섭,한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2007]
",2007,Korean,,,,"학술저널
",http://www.ksae.org,20-27,,,, DBpia,,,,"Ⅰ. 자동차 산업 동향
Ⅱ. 자동차 부품산업 동향
Ⅲ. 자동차 INFOTAINMENT 제품동향
Ⅳ. INFOTAINMENT 제품 주요 이슈
Ⅴ. 향후 과제
"
自動車 엔진오일의 새 規格에 依한 品質評價와 諸問題 = The Quality Fvaluation and Pfobleme to New Specifcation of motor oil,권영길,한국자동차공학회,한국자동차공학회 학술강연초록집,"Vol.-No.-[1983]
",1983,Korean,,556.0,,"학술저널
",http://www.ksae.org,11-21,,,, DBpia,,,,"Ⅰ 序言
Ⅱ 自動車 엔진油의 粘度分類
Ⅲ 自動車엔진油의 評價法과 品質基準
Ⅳ 엔진油의 品質과 變換周期
Ⅴ 엔진油의 品質과 排氣가스 와의 關係"
자율 주행 자동차를 대상으로 한 위험 분석 및 Risk 평가 방안에 관한 연구,"한승용(Seungyong Han),정신훈(Shinhun Jeong),고희양(Heeyang Go)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2017No.11[2017]
",2017,Korean,"Hazard Analysis and Risk Assessment (위험분석및리스크평가),ISO 26262 (ISO 26262),Functional Safety (기능안전),Autonomous Driving (자율주행자동차),Controllability (제어가능성)",,,"학술저널
",,1470-1476,,,, DBpia,,,The “hazard analysis and risk assessment (abb.: HARA)“ is one of the most important activity according to international standard for functional safety of the road vehicle ISO 26262:2011. Through the HARA according to ISO 26262 Part 3: Concept phase have been ensured for ASIL (Automotive Safety Integrity Level) of new developing items include the items that should be applied reuse concept for road vehicles. These requirements for HARA are mandatory activities to respond ISO 26262:2011 whether so called “the autonomous driving“ based on ADAS (Advanced Driver Assit System) or conventional vehicles such as Limousine and SUV etc.. In this phase there are few challenges to perform HARA that was attributed to the difference between autonomous driving and conventional vehicle. The HARA-process should be analyzed based on basically “malfunctioning behaviour of items“ not for malfunctioning behaviour from control failure of vehicle itself. Therefore it will be needed to a new approach to perform HARA to ensure ASIL for autonomous driving.,"Abstract
1. 서론
2. 위험원 분석 및 리스크 평가
3. 자율 주행 자동차에 대한 제어 가능성
4. 자율 주행 자동차에 대한 HARA
4. 결론
References
"
운행 가솔린 자동차 배출가스검사 시스템 개선,"오상엽(Sangyeob Oh),여운석(Unseok Yeo),박원덕(Wondeok Park),정영달(Yongdal Jung),강병도(Byungdo Kang)",한국자동차공학회,한국자동차공학회 학술대회 및 전시회,"Vol.2012No.11[2012]
",2012,Korean,"Vehicle emission inspection(자동차배출가스검사),Vehicle in service(운행 자동차),Weight percent measurement type(농도측정방식),Mass measurement type(질량측정방식),OBD(전자제어진단장치)",,,"학술저널
",,536-542,,,, DBpia,,,"In the most of a nation, the safety and emission gas inspection system of a vehicle in service have been conducted with the most compatible inspection system according to its real environmental situation. Especially, the state of vehicle emission gas is measured by advanced emission gas inspection equipment. It has the problem that the decrease effect of an environmental pollution matter is not calculated by weight percent measurement type equipment. Therefore, in this study, the correlations for the results of emission gas measurement are analyzed by comparing a weight percent measurement type(Idle+ASM2525 mode) and an advanced mass measurement type(IM240 mode). As the result, the selectivity of an emission gas by IM240 mode is higher than that by Idle+ASM2525 mode. In the future, therefore, the introduction of IM240 mode and a mass measurement type equipment are necessary. Also, the preparation of a vehicle emission gas inspection system is need to introduce IM240 mode.","Abstract
1. 서론
2. 시험방법
3. 시험결과
4. 결론
References
"
자동차용 연료전지 기술개발 동향 및 Bipolar Separator Plate 제조에 관한 연구 = The trends in development of fuel cell for automobile and a study on the preparation of bipolar separator plate,"유승을(Seung-Eul Yoo),김영명(Young-Myoung Kim),윤여성(Yeo-Seong Yoon),오미혜(Mee-Hye Oh)",한국자동차공학회,한국자동차공학회 학술강연 논문집,"Vol.-No.-[2000]
",2000,Korean,,556.0,,"학술저널
",http://www.ksae.org,109-121,,,, DBpia,,,,"1.서론
2.자동차용 연료전지
3.자동차용 연료전지의 국내.외 기술 현황
4.연료전지 자동차의 과제 및 해결방안
5.연료전지 자동차의 실용화 및 수요전망
6.고체 고분자 전해질형 연료전지의 Bipolar Separator Plate
7.맺음말
8.참고문헌"
<자동차공학회 특강원고>부산의 자동차부품산업 실태,김형구,한국자동차공학회,한국자동차공학회 지부 학술대회 논문집,"Vol.-No.-[2004]
",2004,Korean,,,,"학술저널
",http://www.ksae.org,1-8,,,, DBpia,,,,"1. 전국 자동차·부품산업의 현황<br/>
2. 전국 자동차부품산업의 현황<br/>
3. 부산 자동차부품산업의 실태"
자동차 기술개발 동향 및 향후 과제,유영상,한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2006]
",2006,Korean,,,,"학술저널
",http://www.ksae.org,30-48,,,, DBpia,,,,"Ⅰ. 자동차 산업 동향
Ⅱ. 자동차 기술개발 동향
Ⅲ. 자동차부품연구원 소개
Ⅳ. 비전 및 향후 과제
"
자동차 분야의 식스시그마 설계 프로세스 효율 향상을 위한 트리즈 (러시아의 창의적 문제 해결 이론)의 활용 = TRIZ (Russian Theory of Inventive Problem Solving) Applications for Improving the Design Efficiency of DFSS (Design for Six Sigma) Process in Automobiles,이경원(Kyeongwon Lee),한국자동차공학회,한국자동차공학회 춘 추계 학술대회 논문집,"Vol.-No.-[2006]
",2006,Korean,"Automobile(자동차),TRIZ(트리즈),Conceptual Design(개념 설계),DFSS(식스시그마 설계)",,,"학술저널
",http://www.ksae.org,2272-2277,,,, DBpia,,,"Many automobile and component companies in Korea have used the Six Sigma (DMAIC) process to improve the quality in manufacturing process. Because these days the design, specially conceptual design process is more important than the manufacturing process, some companies hiring the DMAIC process with QFD (Quality Function Deployment) as a DFSS process, need more conceptual and creative problem solving methods such as TRIZ (Russian Theory of Inventive Problem Solving) and Axiomatic Design. This paper shows the TRIZ applications for improving the design efficiency of DFSS (Design for Six Sigma) Process in Automobiles with some examples.","Abstract
1. 서론
2. 자동차 설계단계와 적합한 도구들
3. 자동차 설계단계와 적합한 도구들
4. 자동차 분야의 트리즈를 적용한 회사들의 활동과 혁신적 설계 사례
5. Computer Aided Innovation 기술
6. 결론
후기
References
"
